date,ridership Lakeshore West ALDERSHOT GO,total_train_trips Lakeshore West ALDERSHOT GO
2020-06-27,926,18
2020-06-28,1013,17
2020-06-29,1168,19
2020-06-30,1284,19
2020-07-01,1036,19
2020-07-02,1283,19
2020-07-03,1392,19
2020-07-04,1241,18
2020-07-05,1147,18
2020-07-06,1259,19
2020-07-07,1267,19
2020-07-08,1272,19
2020-07-09,1296,19
2020-07-10,1399,19
2020-07-11,1053,18
2020-07-12,1131,16
2020-07-13,1329,19
2020-07-14,1441,19
2020-07-15,1473,19
2020-07-16,1277,19
2020-07-17,1644,19
2020-07-18,1494,18
2020-07-19,1027,18
2020-07-20,1478,19
2020-07-21,1492,19
2020-07-22,1285,19
2020-07-23,1388,16
2020-07-24,1711,19
2020-07-25,1600,18
2020-07-26,1302,18
2020-07-27,1411,19
2020-07-28,1508,19
2020-07-29,1595,19
2020-07-30,1687,19
2020-07-31,1954,18
2020-08-01,1651,18
2020-08-02,1081,18
2020-08-03,1160,18
2020-08-04,1524,19
2020-08-05,1865,19
2020-08-06,1834,19
2020-08-07,2031,19
2020-08-08,1713,18
2020-08-09,1440,18
2020-08-10,1731,19
2020-08-11,1749,19
2020-08-12,1955,19
2020-08-13,2075,19
2020-08-14,2149,19
2020-08-15,1956,18
2020-08-16,1417,18
2020-08-17,1766,19
2020-08-18,2036,19
2020-08-19,2012,19
2020-08-20,2135,19
2020-08-21,2347,19
2020-08-22,2115,17
2020-08-23,1669,17
2020-08-24,2019,19
2020-08-25,2062,19
2020-08-26,2122,19
2020-08-27,2156,19
2020-08-28,2272,16
2020-08-29,1928,18
2020-08-30,1810,18
2020-08-31,2099,19
2020-09-01,2238,19
2020-09-02,2041,19
2020-09-03,2323,19
2020-09-04,2532,19
2020-09-05,1934,19
2020-09-06,1546,19
2020-09-07,1305,20
2020-09-08,2047,30
2020-09-09,2121,30
2020-09-10,2198,30
2020-09-11,2473,30
2020-09-12,1932,19
2020-09-13,1285,19
2020-09-14,1989,30
2020-09-15,2064,30
2020-09-16,2104,30
2020-09-17,2167,30
2020-09-18,2309,30
2020-09-19,1665,18
2020-09-20,1366,19
2020-09-21,1954,30
2020-09-22,1983,30
2020-09-23,2023,30
2020-09-24,2045,30
2020-09-25,2343,30
2020-09-26,1630,17
2020-09-27,1301,19
2020-09-28,1876,30
2020-09-29,1892,30
2020-09-30,1815,30
2020-10-01,1893,30
2020-10-02,2020,30
2020-10-03,1337,19
2020-10-04,921,19
2020-10-05,1759,30
2020-10-06,1796,30
2020-10-07,1775,30
2020-10-08,1896,30
2020-10-09,2057,30
2020-10-10,1153,19
2020-10-11,1051,19
2020-10-12,1068,19
2020-10-13,1878,30
2020-10-14,1868,30
2020-10-15,1740,30
2020-10-16,1925,30
2020-10-17,1233,19
2020-10-18,956,19
2020-10-19,1667,30
2020-10-20,1719,30
2020-10-21,1691,30
2020-10-22,1686,29
2020-10-23,2022,30
2020-10-24,1247,19
2020-10-25,1038,19
2020-10-26,1674,30
2020-10-27,1720,30
2020-10-28,1909,30
2020-10-29,1834,30
2020-10-30,2010,30
2020-10-31,1176,19
2020-11-01,983,19
2020-11-02,1770,30
2020-11-03,1757,30
2020-11-04,1863,30
2020-11-05,1907,30
2020-11-06,2092,30
2020-11-07,1397,19
2020-11-08,1042,16
2020-11-09,1841,29
2020-11-10,1929,30
2020-11-11,1813,30
2020-11-12,1850,30
2020-11-13,1941,30
2020-11-14,1256,19
2020-11-15,814,19
2020-11-16,1640,30
2020-11-17,1685,30
2020-11-18,1658,30
2020-11-19,1736,30
2020-11-20,1737,21
2020-11-21,969,19
2020-11-22,808,19
2020-11-23,1427,30
2020-11-24,1436,29
2020-11-25,1479,30
2020-11-26,1515,30
2020-11-27,1428,24
2020-11-30,1460,30
2020-12-01,1560,30
2020-12-02,1456,30
2020-12-03,1513,29
2020-12-04,1558,30
2020-12-05,823,19
2020-12-06,741,19
2020-12-07,1436,30
2020-12-08,1492,30
2020-12-09,1438,30
2020-12-10,1496,30
2020-12-11,1588,30
2020-12-12,723,19
2020-12-13,673,19
2020-12-14,1419,30
2020-12-15,1482,30
2020-12-16,1435,30
2020-12-17,1468,30
2020-12-18,1529,30
2020-12-19,797,19
2020-12-20,636,19
2020-12-21,1338,30
2020-12-22,1347,30
2020-12-23,1346,30
2020-12-24,973,29
2020-12-25,529,19
2020-12-26,518,19
2020-12-27,532,19
2020-12-28,627,19
2020-12-29,929,30
2020-12-30,884,30
2020-12-31,893,30
2021-01-01,406,19
2021-01-02,505,18
2021-01-03,465,20
2021-01-04,1133,30
2021-01-05,1164,30
2021-01-06,1264,30
2021-01-07,1145,30
2021-01-08,1221,30
2021-01-09,657,19
2021-01-10,565,19
2021-01-11,1186,30
2021-01-12,1119,30
2021-01-13,1213,30
2021-01-14,990,30
2021-01-15,984,30
2021-01-16,463,19
2021-01-17,393,19
2021-01-18,993,30
2021-01-19,1046,30
2021-01-20,998,30
2021-01-21,1033,30
2021-01-22,1079,30
2021-01-23,493,18
2021-01-24,465,19
2021-01-25,1012,30
2021-01-26,1031,30
2021-01-27,1049,29
2021-01-28,1010,30
2021-01-29,1105,30
2021-01-30,550,19
2021-01-31,479,19
2021-02-01,1032,30
2021-02-02,1052,30
2021-02-03,1064,30
2021-02-04,1106,30
2021-02-05,1062,30
2021-02-06,549,19
2021-02-07,471,19
2021-02-08,1084,30
2021-02-09,1099,30
2021-02-10,1090,30
2021-02-11,1093,29
2021-02-12,1148,30
2021-02-13,637,19
2021-02-14,546,19
2021-02-15,653,19
2021-02-16,1064,30
2021-02-17,1233,29
2021-02-18,1258,30
2021-02-19,1289,30
2021-02-20,761,19
2021-02-21,668,20
2021-02-22,1173,30
2021-02-23,1265,30
2021-02-24,1276,30
2021-02-25,1305,30
2021-02-26,1404,30
2021-02-27,827,19
2021-02-28,722,19
2021-03-01,1254,30
2021-03-02,1300,30
2021-03-03,1317,30
2021-03-04,1302,30
2021-03-05,1413,30
2021-03-06,843,19
2021-03-07,806,20
2021-03-08,1363,30
2021-03-09,1466,30
2021-03-10,1507,30
2021-03-11,1420,30
2021-03-12,1544,28
2021-03-13,933,14
2021-03-14,821,16
2021-03-15,1345,29
2021-03-16,1375,28
2021-03-17,1443,30
2021-03-18,1453,30
2021-03-19,1601,30
2021-03-20,1184,19
2021-03-21,1013,20
2021-03-22,1501,30
2021-03-23,1443,30
2021-03-24,1463,29
2021-03-25,1578,30
2021-03-26,1494,30
2021-03-27,1190,19
2021-03-28,799,18
2021-03-29,1480,30
2021-03-30,1573,30
2021-03-31,1464,29
2021-04-01,1439,25
2021-04-05,1286,30
2021-04-06,1402,30
2021-04-07,1375,28
2021-04-08,1275,29
2021-04-09,1261,30
2021-04-10,771,19
2021-04-11,526,19
2021-04-12,1157,30
2021-04-13,1156,30
2021-04-14,1186,30
2021-04-15,1189,30
2021-04-16,1164,30
2021-04-17,549,19
2021-04-18,537,19
2021-04-19,1076,30
2021-04-20,1063,30
2021-04-21,994,29
2021-04-22,1062,30
2021-04-23,1178,30
2021-04-24,672,19
2021-04-25,535,19
2021-04-26,1097,30
2021-04-27,1098,30
2021-04-28,1065,30
2021-04-29,1076,30
2021-04-30,1178,30
2021-05-01,651,19
2021-05-02,579,19
2021-05-03,1092,30
2021-05-04,1075,30
2021-05-05,1101,30
2021-05-06,1201,30
2021-05-07,1168,30
2021-05-08,764,19
2021-05-09,774,19
2021-05-10,1186,30
2021-05-11,1194,30
2021-05-12,1220,30
2021-05-13,1223,30
2021-05-14,1365,30
2021-05-15,1031,19
2021-05-16,808,19
2021-05-17,1240,30
2021-05-18,1238,30
2021-05-19,1295,30
2021-05-20,1309,30
2021-05-21,1309,25
2021-05-25,1363,30
2021-05-26,1288,30
2021-05-27,1397,30
2021-05-28,1245,30
2021-05-29,1046,19
2021-05-30,957,19
2021-05-31,1378,30
2021-06-01,1417,30
2021-06-02,1385,30
2021-06-03,1366,30
2021-06-04,1745,30
2021-06-05,1450,19
2021-06-06,1226,19
