date,ridership Barrie AURORA GO,total_train_trips Barrie AURORA GO
2020-05-19,19,3
2020-05-20,18,3
2020-05-21,14,3
2020-05-22,18,3
2020-05-25,20,3
2020-05-26,18,3
2020-05-27,10,3
2020-05-28,21,3
2020-05-29,14,3
2020-06-01,11,3
2020-06-02,9,2
2020-06-03,11,2
2020-06-04,20,3
2020-06-05,21,3
2020-06-08,21,3
2020-06-09,17,3
2020-06-10,16,3
2020-06-11,24,3
2020-06-12,34,3
2020-06-15,25,3
2020-06-16,19,3
2020-06-17,15,3
2020-06-18,26,3
2020-06-19,30,3
2020-06-22,24,3
2020-06-23,11,2
2020-06-24,17,3
2020-06-25,24,3
2020-06-26,35,3
2020-06-29,25,3
2020-06-30,31,3
2020-07-02,28,3
2020-07-03,32,3
2020-07-06,23,3
2020-07-07,12,3
2020-07-08,15,1
2020-07-09,31,3
2020-07-10,38,3
2020-07-13,30,3
2020-07-14,35,3
2020-07-15,27,3
2020-07-16,27,3
2020-07-17,44,3
2020-07-20,31,3
2020-07-21,30,3
2020-07-22,24,3
2020-07-23,24,3
2020-07-24,52,3
2020-07-27,26,3
2020-07-28,28,3
2020-07-29,34,3
2020-07-30,44,3
2020-07-31,45,3
2020-08-04,26,3
2020-08-05,30,3
2020-08-06,42,3
2020-08-07,47,3
2020-08-10,33,3
2020-08-11,28,3
2020-08-12,30,3
2020-08-13,55,3
2020-08-14,67,3
2020-08-17,38,3
2020-08-18,31,3
2020-08-19,45,3
2020-08-20,79,3
2020-08-21,80,3
2020-08-24,38,3
2020-08-25,42,3
2020-08-26,54,3
2020-08-27,56,3
2020-08-28,66,3
2020-08-31,45,3
2020-09-01,34,3
2020-09-02,38,3
2020-09-03,57,3
2020-09-04,70,3
2020-09-08,121,8
2020-09-09,121,8
2020-09-10,127,8
2020-09-11,187,8
2020-09-12,115,8
2020-09-13,99,8
2020-09-14,108,8
2020-09-15,93,8
2020-09-16,127,8
2020-09-17,112,8
2020-09-18,165,8
2020-09-19,144,8
2020-09-20,116,8
2020-09-21,89,8
2020-09-22,104,8
2020-09-23,106,8
2020-09-24,116,8
2020-09-25,147,8
2020-09-26,130,8
2020-09-27,116,8
2020-09-28,102,8
2020-09-29,92,8
2020-09-30,96,8
2020-10-01,104,8
2020-10-02,114,8
2020-10-03,91,8
2020-10-04,79,8
2020-10-05,96,8
2020-10-06,79,8
2020-10-07,88,8
2020-10-08,104,8
2020-10-09,131,8
2020-10-10,74,8
2020-10-11,73,8
2020-10-12,116,8
2020-10-13,114,8
2020-10-14,101,8
2020-10-15,102,8
2020-10-16,108,8
2020-10-17,71,8
2020-10-18,72,8
2020-10-19,93,8
2020-10-20,85,8
2020-10-21,71,8
2020-10-22,85,8
2020-10-23,110,8
2020-10-24,79,8
2020-10-25,86,8
2020-10-26,89,8
2020-10-27,81,8
2020-10-28,105,8
2020-10-29,103,8
2020-10-30,102,8
2020-10-31,87,8
2020-11-01,72,8
2020-11-02,95,8
2020-11-03,98,8
2020-11-04,50,5
2020-11-05,99,8
2020-11-06,113,7
2020-11-07,88,8
2020-11-08,114,8
2020-11-09,82,8
2020-11-10,99,7
2020-11-11,103,8
2020-11-12,103,8
2020-11-13,133,8
2020-11-14,82,8
2020-11-15,74,8
2020-11-16,78,8
2020-11-17,92,8
2020-11-18,84,8
2020-11-19,90,8
2020-11-20,134,8
2020-11-21,53,8
2020-11-22,76,8
2020-11-23,74,8
2020-11-24,66,8
2020-11-25,63,8
2020-11-26,74,8
2020-11-27,91,8
2020-11-30,76,8
2020-12-01,73,8
2020-12-02,62,8
2020-12-03,78,8
2020-12-04,91,8
2020-12-05,94,12
2020-12-06,128,12
2020-12-07,82,8
