date,ridership Lakeshore West ALDERSHOT GO Midday,total_train_trips Lakeshore West ALDERSHOT GO Midday
2022-07-06,1629,6
2022-07-07,1496,6
2022-07-08,1115,6
2022-07-11,1215,6
2022-07-12,1464,6
2022-07-13,1626,6
2022-07-14,1718,6
2022-07-15,1692,6
2022-07-18,1119,6
2022-07-19,1501,6
2022-07-20,1637,6
2022-07-21,1511,6
2022-07-22,1149,5
2022-07-25,1300,6
2022-07-26,1647,6
2022-07-27,1713,6
2022-07-28,1608,6
2022-07-29,1278,6
2022-08-02,1381,6
2022-08-03,1639,6
2022-08-04,1529,6
2022-08-05,1215,6
2022-08-08,1576,7
2022-08-09,1530,6
2022-08-10,1730,6
2022-08-11,1653,6
2022-08-12,1346,6
2022-08-15,1676,6
2022-08-16,1740,6
2022-08-17,2363,6
2022-08-18,1631,6
2022-08-19,1932,6
2022-08-22,1553,6
2022-08-23,2240,6
2022-08-24,2840,7
2022-08-25,2201,6
2022-08-26,2380,6
2022-08-29,2080,6
2022-08-30,1893,12
2022-08-31,2933,6
2022-09-01,2259,5
2022-09-02,2292,6
2022-09-06,1609,6
2022-09-07,1825,6
2022-09-08,2057,6
2022-09-09,1542,6
2022-09-12,1567,6
2022-09-13,2368,6
2022-09-14,2065,6
2022-09-15,2350,6
2022-09-16,1457,6
2022-09-19,1397,6
2022-09-20,2037,6
2022-09-21,2005,6
2022-09-22,2073,6
2022-09-23,1348,6
2022-09-26,1473,6
2022-09-27,1882,6
2022-09-28,2082,6
2022-09-29,1928,6
2022-09-30,1382,6
2022-10-03,1520,6
2022-10-04,1865,6
2022-10-05,2040,6
2022-10-06,2004,6
2022-10-07,1610,6
2022-10-11,1824,6
2022-10-12,1981,6
2022-10-13,1859,6
2022-10-14,1254,6
2022-10-17,1439,6
2022-10-18,1890,6
2022-10-19,2435,7
2022-10-20,2059,6
2022-10-21,1195,6
2022-10-24,1529,6
2022-10-25,2321,6
2022-10-26,2028,6
2022-10-27,2153,6
2022-10-28,1344,6
2022-10-31,1342,6
2022-11-01,2035,7
2022-11-02,2310,6
2022-11-03,1987,6
2022-11-04,1449,6
2022-11-07,1374,6
2022-11-08,1830,6
2022-11-09,1967,6
2022-11-10,2010,6
2022-11-11,1257,6
2022-11-14,1405,6
2022-11-15,1794,6
2022-11-16,1857,6
2022-11-17,1890,6
2022-11-18,1186,6
2022-11-21,1336,6
2022-11-22,1796,6
2022-11-23,1970,6
2022-11-24,2015,6
2022-11-25,1586,6
2022-11-28,1585,6
2022-11-29,983,5
2022-11-30,2210,6
2022-12-01,2062,6
2022-12-02,1479,6
2022-12-05,1667,7
2022-12-06,1810,6
2022-12-07,2095,6
2022-12-08,2070,6
2022-12-09,1506,7
2022-12-12,1311,6
2022-12-13,1694,5
2022-12-14,2008,6
2022-12-15,1337,6
2022-12-16,1215,6
2022-12-19,1215,6
2022-12-20,1655,6
2022-12-21,1463,6
2022-12-22,1731,6
2022-12-23,600,6
2022-12-28,1224,6
2022-12-29,1257,6
2022-12-30,1013,6
