date,ridership Barrie ALLANDALE WATERFRONT GO,total_train_trips Barrie ALLANDALE WATERFRONT GO
2021-06-28,418,4
2021-06-29,426,4
2021-06-30,437,4
2021-07-02,238,4
2021-07-05,434,4
2021-07-06,447,4
2021-07-07,427,4
2021-07-08,433,4
2021-07-09,379,4
2021-07-10,225,5
2021-07-11,199,5
2021-07-12,452,4
2021-07-13,467,4
2021-07-14,494,4
2021-07-15,479,4
2021-07-16,395,4
2021-07-17,206,5
2021-07-18,252,5
2021-07-19,454,4
2021-07-20,483,4
2021-07-21,505,4
2021-07-22,486,4
2021-07-23,437,4
2021-07-24,247,5
2021-07-25,293,5
2021-07-26,487,4
2021-07-27,518,4
2021-07-28,513,4
2021-07-29,505,4
2021-07-30,450,4
2021-07-31,317,5
2021-08-01,242,5
2021-08-02,379,5
2021-08-03,443,3
2021-08-04,569,4
2021-08-05,567,4
2021-08-06,446,4
2021-08-09,554,5
2021-08-10,587,5
2021-08-11,574,5
2021-08-12,577,5
2021-08-13,481,5
2021-08-14,436,6
2021-08-15,320,6
2021-08-16,558,5
2021-08-17,608,5
2021-08-18,587,5
2021-08-19,615,5
2021-08-20,488,5
2021-08-21,296,6
2021-08-22,319,6
2021-08-23,539,5
2021-08-24,603,5
2021-08-25,565,4
2021-08-26,570,5
2021-08-27,491,5
2021-08-28,295,6
2021-08-29,273,6
2021-08-30,590,5
2021-08-31,639,5
2021-09-01,624,5
2021-09-02,599,5
2021-09-03,490,5
2021-09-04,363,6
2021-09-05,297,6
2021-09-06,355,6
2021-09-07,829,10
2021-09-08,826,10
2021-09-09,811,10
2021-09-10,729,10
2021-09-11,291,6
2021-09-12,264,6
2021-09-13,879,10
2021-09-14,952,10
2021-09-15,871,9
2021-09-16,915,10
2021-09-17,741,10
2021-09-18,72,2
2021-09-19,251,5
2021-09-20,856,10
2021-09-21,910,10
2021-09-22,902,10
2021-09-23,915,10
2021-09-24,826,10
2021-09-25,293,6
2021-09-26,269,6
2021-09-27,904,10
2021-09-28,1010,10
2021-09-29,988,10
2021-09-30,866,10
2021-10-01,837,10
2021-10-03,351,6
2021-10-04,953,10
2021-10-05,967,9
2021-10-06,1023,10
2021-10-07,970,10
2021-10-08,765,10
2021-10-09,301,6
2021-10-10,312,6
2021-10-11,523,6
2021-10-12,1116,10
2021-10-13,1081,10
2021-10-14,1042,10
2021-10-15,858,10
2021-10-16,309,6
2021-10-17,285,6
2021-10-18,956,10
2021-10-19,1106,10
2021-10-20,1086,10
2021-10-21,1067,10
2021-10-22,848,9
2021-10-23,351,6
2021-10-24,319,6
2021-10-25,943,10
2021-10-26,1049,10
2021-10-27,1147,10
2021-10-28,1052,9
2021-10-29,894,10
2021-10-30,309,6
2021-10-31,229,6
2021-11-01,1004,10
2021-11-02,1184,10
2021-11-03,1142,10
2021-11-04,1136,10
2021-11-05,872,10
2021-11-06,333,6
2021-11-07,279,6
2021-11-08,952,10
2021-11-09,1153,10
2021-11-10,1171,10
2021-11-11,960,10
2021-11-12,858,10
2021-11-13,307,6
2021-11-14,253,6
2021-11-15,1098,10
2021-11-16,1187,10
2021-11-17,1166,10
2021-11-18,1187,10
2021-11-19,892,10
2021-11-20,65,2
2021-11-21,239,6
2021-11-22,1081,10
2021-11-23,1202,10
2021-11-24,1220,10
2021-11-25,1233,10
2021-11-26,923,10
2021-11-27,285,6
2021-11-28,301,6
2021-11-29,1048,10
2021-11-30,1261,10
2021-12-01,1294,10
2021-12-02,1206,10
2021-12-03,926,10
2021-12-04,232,6
2021-12-05,254,6
2021-12-06,1037,10
2021-12-07,1235,10
2021-12-08,1188,10
2021-12-09,1143,10
2021-12-10,930,10
2021-12-11,291,6
2021-12-12,219,6
2021-12-13,996,10
2021-12-14,1129,10
2021-12-15,1074,10
2021-12-16,953,10
2021-12-17,669,10
2021-12-18,256,6
2021-12-19,222,6
2021-12-20,615,10
2021-12-21,591,10
2021-12-22,573,10
2021-12-23,492,10
2021-12-24,265,10
2021-12-25,105,6
2021-12-26,236,6
2021-12-27,290,6
2021-12-28,291,6
2021-12-29,363,10
2021-12-30,344,10
2021-12-31,233,10
2022-01-01,197,6
2022-01-02,257,6
2022-01-03,244,6
2022-01-04,441,10
2022-01-05,356,10
2022-01-06,382,10
2022-01-07,327,10
2022-01-08,115,6
2022-01-09,134,6
2022-01-10,379,5
2022-01-11,359,5
2022-01-12,381,5
2022-01-13,362,5
2022-01-14,317,5
2022-01-15,114,6
2022-01-16,166,6
2022-01-17,314,5
2022-01-18,378,5
2022-01-19,487,5
2022-01-20,460,5
2022-01-21,355,5
2022-01-24,490,5
2022-01-25,495,5
2022-01-26,482,5
2022-01-27,502,5
2022-01-28,400,5
2022-01-31,573,5
2022-02-01,609,5
2022-02-02,638,5
2022-02-03,529,5
2022-02-04,496,5
2022-02-07,757,5
2022-02-08,764,5
2022-02-09,713,5
2022-02-10,773,5
2022-02-11,626,5
2022-02-14,771,5
2022-02-15,840,5
2022-02-16,840,5
2022-02-17,761,5
2022-02-18,517,5
2022-02-22,869,5
2022-02-23,866,5
2022-02-24,851,5
2022-02-25,651,5
2022-02-28,1115,5
2022-03-01,1179,5
2022-03-02,1176,5
2022-03-03,1152,5
2022-03-04,867,5
2022-03-07,1154,5
2022-03-08,1279,5
2022-03-09,1326,5
2022-03-10,1235,5
2022-03-11,889,5
2022-03-14,1146,5
2022-03-15,1269,5
2022-03-16,1333,5
2022-03-17,1270,5
2022-03-18,954,5
2022-03-21,1211,5
2022-03-22,1409,5
2022-03-23,1311,5
2022-03-24,1389,5
2022-03-25,932,5
2022-03-28,1260,5
2022-03-29,1430,5
2022-03-30,1437,5
2022-03-31,1407,5
2022-04-01,891,5
2022-04-04,1380,5
2022-04-05,1588,5
2022-04-06,1624,5
2022-04-07,1453,5
2022-04-08,980,5
2022-04-11,1271,5
2022-04-12,1576,5
2022-04-13,1587,5
2022-04-14,1289,5
2022-04-18,880,5
2022-04-19,1481,5
2022-04-20,1502,5
2022-04-21,1354,5
2022-04-22,963,5
2022-04-25,1199,5
2022-04-26,1590,5
2022-04-27,1572,5
2022-04-28,1531,5
2022-04-29,980,5
2022-05-02,1358,5
2022-05-03,1681,5
2022-05-04,1740,5
2022-05-05,1711,5
2022-05-06,1081,5
2022-05-09,1489,5
2022-05-10,1883,5
2022-05-11,1870,5
2022-05-12,1776,5
2022-05-13,1005,5
2022-05-16,1303,5
2022-05-17,2036,5
2022-05-18,2057,5
2022-05-19,1820,5
2022-05-20,994,5
2022-05-21,516,6
2022-05-22,617,6
2022-05-23,485,6
2022-05-24,2011,8
2022-05-25,2195,8
2022-05-26,2081,8
2022-05-27,1268,8
2022-05-28,515,6
2022-05-29,507,6
2022-05-30,1648,8
2022-05-31,2172,8
2022-06-01,2319,8
2022-06-02,2153,8
2022-06-03,1281,8
2022-06-06,1770,8
2022-06-07,2302,8
2022-06-08,2509,8
2022-06-09,2293,8
2022-06-10,1328,8
2022-06-11,652,6
2022-06-12,483,6
2022-06-13,1962,8
2022-06-14,2574,8
2022-06-15,2581,8
2022-06-16,2525,8
2022-06-17,1355,8
2022-06-18,863,6
2022-06-19,776,6
2022-06-20,1913,8
2022-06-21,2487,8
2022-06-22,2671,8
2022-06-23,2497,8
2022-06-24,1373,8
2022-06-25,759,6
2022-06-26,777,6
2022-06-27,1934,8
2022-06-28,2645,8
2022-06-29,2483,8
2022-06-30,1726,8
