date,ridership Richmond Hill UNION STATION,total_train_trips Richmond Hill UNION STATION
2022-04-12,632,4
2022-04-13,588,4
2022-04-14,485,4
2022-04-18,330,4
2022-04-19,534,4
2022-04-20,588,4
2022-04-21,553,4
2022-04-22,332,4
2022-04-25,460,4
2022-04-26,576,4
2022-04-27,613,4
2022-04-28,598,4
2022-04-29,340,4
2022-05-02,563,4
2022-05-03,664,4
2022-05-04,665,4
2022-05-05,655,4
2022-05-06,413,4
2022-05-09,579,4
2022-05-10,754,4
2022-05-11,732,4
2022-05-12,698,4
2022-05-13,395,4
2022-05-16,647,4
2022-05-17,846,4
2022-05-18,818,4
2022-05-19,747,4
2022-05-20,343,4
2022-05-24,650,4
2022-05-25,843,4
2022-05-26,786,4
2022-05-27,419,4
2022-05-30,659,4
2022-05-31,904,4
2022-06-01,865,4
2022-06-02,792,4
2022-06-03,406,4
2022-06-06,658,4
2022-06-07,870,4
2022-06-08,926,4
2022-06-09,883,4
2022-06-10,426,4
2022-06-13,712,4
2022-06-14,989,4
2022-06-15,1024,4
2022-06-16,953,4
2022-06-17,438,4
2022-06-20,665,4
2022-06-21,959,4
2022-06-22,999,4
2022-06-23,951,4
2022-06-24,415,4
2022-06-27,708,4
2022-06-28,999,4
2022-06-29,952,4
2022-06-30,592,4
2022-07-04,557,4
2022-07-05,869,4
2022-07-06,878,4
2022-07-07,853,4
2022-07-08,437,4
2022-07-11,682,4
2022-07-12,937,4
2022-07-13,904,4
2022-07-14,833,4
2022-07-15,361,4
2022-07-18,618,4
2022-07-19,912,4
2022-07-20,961,4
2022-07-21,711,3
2022-07-22,381,3
2022-07-25,614,4
2022-07-26,901,4
2022-07-27,921,4
2022-07-28,825,4
2022-07-29,332,4
2022-08-02,827,4
2022-08-03,793,3
2022-08-04,711,3
2022-08-05,311,3
2022-08-08,578,3
2022-08-09,840,3
2022-08-10,890,3
2022-08-11,713,3
2022-08-12,322,3
2022-08-15,580,3
2022-08-16,854,3
2022-08-17,915,3
2022-08-18,807,3
2022-08-19,334,3
2022-08-22,559,3
2022-08-23,890,3
2022-08-24,881,3
2022-08-25,420,2
2022-08-26,235,2
2022-08-29,561,3
2022-08-30,740,3
2022-08-31,779,3
2022-09-01,682,3
2022-09-02,280,3
2022-09-06,856,3
2022-09-07,890,3
2022-09-08,983,3
2022-09-09,460,3
2022-09-12,757,3
2022-09-13,1110,3
2022-09-14,1096,3
2022-09-15,1001,3
2022-09-16,448,3
2022-09-19,751,3
2022-09-20,1152,3
2022-09-21,1100,3
2022-09-22,1035,3
2022-09-23,434,3
2022-09-26,762,3
2022-09-27,1115,3
2022-09-28,1120,3
2022-09-29,939,3
2022-09-30,325,3
2022-10-03,808,3
2022-10-04,1148,3
2022-10-05,1143,3
2022-10-06,1108,3
2022-10-07,401,3
2022-10-11,1169,4
2022-10-12,1258,4
2022-10-13,1132,4
2022-10-14,488,4
2022-10-17,850,4
2022-10-18,1285,4
2022-10-19,1245,4
2022-10-20,1096,4
2022-10-21,496,4
2022-10-24,815,4
2022-10-25,1267,4
