date,ridership Milton MILTON GO,total_train_trips Milton MILTON GO
2022-06-01,2709,5
2022-06-02,2459,5
2022-06-03,1361,5
2022-06-06,2004,5
2022-06-07,2734,5
2022-06-08,2899,5
2022-06-09,2730,5
2022-06-10,1433,5
2022-06-13,2163,5
2022-06-14,2989,5
2022-06-15,3041,5
2022-06-16,817,2
2022-06-17,1513,5
2022-06-20,2130,5
2022-06-21,2997,5
2022-06-22,3074,5
2022-06-23,2929,5
2022-06-24,1417,5
2022-06-27,2109,5
2022-06-28,3068,5
2022-06-29,2875,5
2022-06-30,1830,5
2022-07-04,1680,5
2022-07-05,2564,5
2022-07-06,2735,5
2022-07-07,2532,5
2022-07-08,1321,5
2022-07-11,2052,5
2022-07-12,2884,5
2022-07-13,2867,5
2022-07-14,2612,5
2022-07-15,1314,5
2022-07-18,1888,5
2022-07-19,2808,5
2022-07-20,2859,5
2022-07-21,2605,5
2022-07-22,1290,5
2022-07-25,1974,5
2022-07-26,2754,5
2022-07-27,2757,5
2022-07-28,2411,5
2022-07-29,1063,5
2022-08-02,2390,5
2022-08-03,2543,5
2022-08-04,2496,5
2022-08-05,1238,5
2022-08-08,1919,5
2022-08-09,2771,5
2022-08-10,2930,5
2022-08-11,2561,5
2022-08-12,443,1
2022-08-15,1982,5
2022-08-16,2886,5
2022-08-17,2952,5
2022-08-18,2663,5
2022-08-19,1388,5
2022-08-22,1932,5
2022-08-23,2815,5
2022-08-24,2908,5
2022-08-25,2614,5
2022-08-26,1357,5
2022-08-29,1967,5
2022-08-30,2630,5
2022-08-31,2613,5
2022-09-01,2309,5
2022-09-02,1066,5
2022-09-06,2940,5
2022-09-07,3512,5
2022-09-08,3529,5
2022-09-09,2025,5
2022-09-12,2857,5
2022-09-13,4021,5
2022-09-14,4030,5
2022-09-15,3833,5
2022-09-16,2050,5
2022-09-19,2726,5
2022-09-20,4108,5
2022-09-21,4061,5
2022-09-22,3809,5
2022-09-23,1967,5
2022-09-26,2720,5
2022-09-27,3936,5
2022-09-28,3988,5
2022-09-29,3575,5
2022-09-30,1598,5
2022-10-03,2831,5
2022-10-04,4017,5
2022-10-05,3978,5
2022-10-06,3782,5
2022-10-07,1676,5
2022-10-11,3456,5
2022-10-12,3740,5
2022-10-13,3361,5
2022-10-14,1743,5
2022-10-17,2812,6
2022-10-18,4063,6
2022-10-19,4080,6
2022-10-20,3686,6
2022-10-21,1901,6
2022-10-24,2470,6
2022-10-25,3919,6
2022-10-26,3989,6
2022-10-27,3810,6
2022-10-28,1861,6
2022-10-31,2563,6
2022-11-01,3987,6
2022-11-02,4401,6
2022-11-03,3741,6
2022-11-04,1865,6
2022-11-07,2729,6
2022-11-08,4130,6
2022-11-09,4147,6
2022-11-10,3701,6
2022-11-11,1519,6
2022-11-14,2785,6
2022-11-15,4067,6
2022-11-16,3314,5
2022-11-17,3672,6
2022-11-18,1801,6
2022-11-20,76,1
2022-11-21,2737,6
2022-11-22,4018,6
2022-11-23,4007,6
2022-11-24,3427,6
2022-11-25,1766,6
2022-11-28,2751,6
2022-11-29,3899,6
2022-11-30,3925,6
2022-12-01,3693,6
2022-12-02,1880,6
2022-12-05,2756,6
2022-12-06,3833,6
2022-12-07,4106,6
2022-12-08,3864,6
2022-12-09,1818,6
2022-12-12,2650,6
2022-12-13,3827,6
2022-12-14,3904,6
2022-12-15,2288,5
2022-12-16,1443,5
2022-12-19,1991,6
2022-12-20,2674,6
2022-12-21,2369,6
2022-12-22,1463,6
2022-12-23,424,5
2022-12-28,695,6
2022-12-29,670,6
2022-12-30,469,6
2022-12-31,72,2
