date,ridership Lakeshore West UNION STATION Midday,total_train_trips Lakeshore West UNION STATION Midday
2022-05-25,1075,12
2022-05-26,1059,12
2022-05-27,1148,12
2022-05-30,1071,12
2022-05-31,1046,12
2022-06-01,1082,12
2022-06-02,1212,12
2022-06-03,1357,12
2022-06-06,1081,12
2022-06-07,1075,12
2022-06-08,1294,12
2022-06-09,1215,12
2022-06-10,1464,12
2022-06-13,1193,12
2022-06-14,1208,12
2022-06-15,1320,12
2022-06-16,1651,12
2022-06-17,1525,12
2022-06-20,1183,12
2022-06-21,1449,12
2022-06-22,1543,12
2022-06-23,1601,12
2022-06-24,1510,12
2022-06-27,1246,12
2022-06-28,1332,12
2022-06-29,1338,12
2022-06-30,1584,12
2022-07-04,1218,12
2022-07-05,1153,12
2022-07-06,1208,12
2022-07-07,1261,12
2022-07-08,1360,12
2022-07-11,1161,12
2022-07-12,1170,12
2022-07-13,1574,12
2022-07-14,1781,12
2022-07-15,2470,12
2022-07-18,1081,12
2022-07-19,1189,12
2022-07-20,1316,12
2022-07-21,1281,12
2022-07-22,1540,12
2022-07-25,1166,12
2022-07-26,1243,12
2022-07-27,1306,12
2022-07-28,1375,12
2022-07-29,1611,12
2022-08-02,1212,12
2022-08-03,1277,12
2022-08-04,1009,11
2022-08-05,1129,11
2022-08-08,916,11
2022-08-09,1241,12
2022-08-10,1285,12
2022-08-11,1718,12
2022-08-12,1473,12
2022-08-15,1154,12
2022-08-16,1379,12
2022-08-17,1519,12
2022-08-18,1429,12
2022-08-19,2711,12
2022-08-22,1673,12
2022-08-23,2582,11
2022-08-24,3045,12
2022-08-25,2199,12
2022-08-26,2748,12
2022-08-29,2507,12
2022-08-30,1915,12
2022-08-31,3148,12
2022-09-01,3286,12
2022-09-02,3516,12
2022-09-06,1551,12
2022-09-07,1569,12
2022-09-08,1700,12
2022-09-09,2064,12
2022-09-12,1512,12
2022-09-13,1568,12
2022-09-14,1685,12
2022-09-15,1684,12
2022-09-16,1795,12
2022-09-19,1469,12
2022-09-20,1476,12
2022-09-21,1691,12
