date,ridership Barrie UNION STATION,total_train_trips Barrie UNION STATION
2022-01-20,620,13
2022-01-21,611,13
2022-01-24,617,13
2022-01-25,656,13
2022-01-26,607,13
2022-01-27,692,13
2022-01-28,674,13
2022-01-31,718,13
2022-02-01,806,13
2022-02-02,797,13
2022-02-03,706,13
2022-02-04,814,13
2022-02-07,901,13
2022-02-08,914,13
2022-02-09,887,13
2022-02-10,969,13
2022-02-11,919,13
2022-02-14,927,13
2022-02-15,1043,13
2022-02-16,1018,13
2022-02-17,1024,13
2022-02-18,958,13
2022-02-22,981,13
2022-02-23,1109,13
2022-02-24,1078,13
2022-02-25,944,13
2022-02-28,1276,13
2022-03-01,1406,13
2022-03-02,1389,13
2022-03-03,1361,13
2022-03-04,1222,13
2022-03-07,1341,13
2022-03-08,1523,13
2022-03-09,1594,13
2022-03-10,1520,13
2022-03-11,1332,13
2022-03-14,1427,13
2022-03-15,1545,13
2022-03-16,1617,13
2022-03-17,1623,13
2022-03-18,1394,13
2022-03-21,1390,13
2022-03-22,1669,13
2022-03-23,1512,13
2022-03-24,1669,13
2022-03-25,1352,13
2022-03-28,1427,13
2022-03-29,1671,13
2022-03-30,1672,13
2022-03-31,1650,13
2022-04-01,1280,13
2022-04-04,1543,12
2022-04-05,1759,12
2022-04-06,1846,12
2022-04-07,1676,12
2022-04-08,1293,12
2022-04-11,1466,12
2022-04-12,1775,12
2022-04-13,1828,12
2022-04-14,1687,12
2022-04-18,1010,12
2022-04-19,1568,12
2022-04-20,1645,12
2022-04-21,1544,12
2022-04-22,1195,12
2022-04-25,1328,12
2022-04-26,1724,12
2022-04-27,1772,12
2022-04-28,1773,12
2022-04-29,1269,12
2022-05-02,1499,12
2022-05-03,1828,12
2022-05-04,1867,12
2022-05-05,1861,12
2022-05-06,1403,12
2022-05-09,1585,12
2022-05-10,1989,12
2022-05-11,2019,12
2022-05-12,1895,12
2022-05-13,1358,12
2022-05-16,1313,12
2022-05-17,2188,12
2022-05-18,2206,12
2022-05-19,2045,12
2022-05-20,1405,12
2022-05-21,776,15
2022-05-22,972,15
2022-05-23,582,15
2022-05-24,2103,15
2022-05-25,2376,15
2022-05-26,2304,15
2022-05-27,1558,15
2022-05-28,867,15
2022-05-29,697,15
2022-05-30,1792,15
2022-05-31,2342,15
2022-06-01,2520,15
2022-06-02,2509,15
2022-06-03,1672,15
2022-06-06,1867,15
2022-06-07,2283,15
2022-06-08,2683,15
2022-06-09,2529,15
2022-06-10,1716,15
2022-06-11,1083,15
2022-06-12,693,15
2022-06-13,2203,15
2022-06-14,2771,15
2022-06-15,2831,15
2022-06-16,2735,14
2022-06-17,1835,14
2022-06-18,1459,15
2022-06-19,1215,15
2022-06-20,2020,15
2022-06-21,2626,14
2022-06-22,2854,14
2022-06-23,2707,15
2022-06-24,1810,15
2022-06-25,1179,15
2022-06-26,1193,15
2022-06-27,2217,15
2022-06-28,2845,15
2022-06-29,2770,15
2022-06-30,2274,15
2022-07-01,1428,15
2022-07-02,1543,15
2022-07-03,1213,15
2022-07-04,1807,15
2022-07-05,2405,15
2022-07-06,2581,15
2022-07-07,2473,15
2022-07-08,1855,15
2022-07-09,1248,15
2022-07-10,904,15
2022-07-11,2061,15
2022-07-12,2721,15
2022-07-13,2678,15
2022-07-14,2600,15
2022-07-15,1697,15
2022-07-16,1510,14
2022-07-17,1311,15
2022-07-18,1860,15
2022-07-19,2618,14
2022-07-20,2696,15
2022-07-21,2586,15
2022-07-22,1353,12
2022-07-23,1214,13
2022-07-24,801,15
2022-07-25,1974,15
2022-07-26,2584,15
2022-07-27,2798,15
2022-07-28,2583,15
2022-07-29,1954,15
2022-07-30,1958,15
2022-07-31,1683,15
2022-08-01,769,15
2022-08-02,2380,15
2022-08-03,2614,15
2022-08-04,2391,15
2022-08-05,1662,15
2022-08-06,1152,15
2022-08-07,913,15
2022-08-08,1982,15
2022-08-09,2659,15
2022-08-10,2785,15
2022-08-11,2575,15
2022-08-12,1808,15
2022-08-13,1573,11
2022-08-14,1312,11
2022-08-15,2158,15
2022-08-16,2847,15
2022-08-17,3017,15
2022-08-18,2602,15
2022-08-19,1797,15
2022-08-20,1470,11
2022-08-21,994,11
2022-08-22,1963,15
2022-08-23,2843,15
2022-08-24,2863,15
2022-08-25,2683,15
2022-08-26,2092,15
2022-08-27,2146,11
2022-08-28,1840,11
2022-08-29,2156,15
2022-08-30,2604,15
2022-08-31,3007,15
2022-09-01,2628,15
2022-09-02,1918,15
2022-09-03,1424,11
2022-09-04,1231,11
2022-09-05,914,11
2022-09-06,3157,15
