date,ridership Milton UNION STATION PM Peak,total_train_trips Milton UNION STATION PM Peak
2020-12-23,312,4
2020-12-24,138,4
2020-12-29,242,3
2020-12-30,227,4
2020-12-31,150,4
2021-01-04,383,4
2021-01-05,386,4
2021-01-06,391,4
2021-01-07,375,4
2021-01-08,351,4
2021-01-11,392,4
2021-01-12,390,4
2021-01-13,394,4
2021-01-14,347,4
2021-01-15,308,4
2021-01-18,326,4
2021-01-19,338,4
2021-01-20,274,3
2021-01-21,330,4
2021-01-22,314,4
2021-01-25,335,4
2021-01-26,366,4
2021-01-27,335,4
2021-01-28,335,4
2021-01-29,324,4
2021-02-01,330,4
2021-02-02,338,4
2021-02-03,357,4
2021-02-04,334,4
2021-02-05,310,4
2021-02-08,341,4
2021-02-09,357,4
2021-02-10,366,4
2021-02-11,366,4
2021-02-12,311,4
2021-02-16,331,4
2021-02-17,375,4
2021-02-18,392,4
2021-02-19,345,4
2021-02-22,388,4
2021-02-23,366,4
2021-02-24,370,4
2021-02-25,376,4
2021-02-26,344,4
2021-03-01,367,4
2021-03-02,367,4
2021-03-03,379,4
2021-03-04,386,4
2021-03-05,338,4
2021-03-08,395,4
2021-03-09,405,4
2021-03-10,401,4
2021-03-11,420,4
2021-03-12,375,4
2021-03-15,382,4
2021-03-16,404,4
2021-03-17,414,4
2021-03-18,406,4
2021-03-19,359,4
2021-03-22,410,4
2021-03-23,415,4
2021-03-24,424,4
2021-03-25,432,4
2021-03-26,381,4
2021-03-29,419,4
2021-03-30,421,4
2021-03-31,423,4
2021-04-01,403,4
2021-04-05,287,4
2021-04-06,408,4
2021-04-07,390,4
2021-04-08,376,4
2021-04-09,342,4
2021-04-12,349,4
2021-04-13,356,4
2021-04-14,362,4
2021-04-15,366,4
2021-04-16,310,4
2021-04-19,329,4
2021-04-20,349,4
2021-04-21,328,4
2021-04-22,330,4
2021-04-23,301,4
2021-04-26,322,4
2021-04-27,326,4
2021-04-28,320,4
2021-04-29,314,4
2021-04-30,293,4
2021-05-03,343,4
2021-05-04,332,4
2021-05-05,345,4
2021-05-06,353,4
2021-05-07,315,4
2021-05-10,348,4
2021-05-11,356,4
2021-05-12,344,4
2021-05-13,318,4
2021-05-14,293,4
2021-05-17,357,4
2021-05-18,369,4
2021-05-19,351,4
