date,ridership Stouffville UNION STATION PM Peak,total_train_trips Stouffville UNION STATION PM Peak
2021-04-14,187,4
2021-04-15,175,4
2021-04-16,171,4
2021-04-19,171,4
2021-04-20,179,4
2021-04-21,180,4
2021-04-22,174,4
2021-04-23,154,4
2021-04-26,167,4
2021-04-27,179,4
2021-04-28,189,4
2021-04-29,180,4
2021-04-30,173,4
2021-05-03,178,4
2021-05-04,175,4
2021-05-05,192,4
2021-05-06,180,4
2021-05-07,167,4
2021-05-10,177,4
2021-05-11,200,4
2021-05-12,204,4
2021-05-13,196,4
2021-05-14,183,4
2021-05-17,192,4
2021-05-18,197,4
2021-05-19,206,4
2021-05-20,196,4
2021-05-21,172,4
2021-05-25,207,4
2021-05-26,215,4
2021-05-27,212,4
2021-05-28,183,4
2021-05-31,206,4
2021-06-01,218,4
2021-06-02,226,4
2021-06-03,207,4
2021-06-04,198,4
2021-06-07,200,4
2021-06-08,228,4
2021-06-09,233,4
2021-06-10,219,4
2021-06-11,217,4
2021-06-14,194,4
2021-06-15,239,4
2021-06-16,248,4
2021-06-17,247,4
2021-06-18,219,4
2021-06-21,231,4
2021-06-22,244,4
2021-06-23,245,4
2021-06-24,248,4
2021-06-25,232,4
2021-06-28,235,4
2021-06-29,252,4
2021-06-30,239,4
2021-07-02,174,4
2021-07-05,244,4
2021-07-06,277,4
2021-07-07,257,4
2021-07-08,247,4
2021-07-09,250,4
2021-07-12,259,4
2021-07-13,257,4
2021-07-14,291,4
2021-07-15,291,4
2021-07-16,245,4
2021-07-19,271,4
2021-07-20,297,4
2021-07-21,291,4
2021-07-22,295,4
2021-07-23,261,4
2021-07-26,292,4
2021-07-27,288,4
2021-07-28,314,4
2021-07-29,276,4
2021-07-30,270,4
2021-08-03,311,4
2021-08-04,322,4
2021-08-05,326,4
2021-08-06,303,4
2021-08-09,299,4
2021-08-10,312,4
2021-08-11,327,4
2021-08-12,322,4
2021-08-13,281,4
2021-08-16,312,4
2021-08-17,324,4
2021-08-18,332,4
2021-08-19,334,4
2021-08-20,330,4
2021-08-23,310,4
2021-08-24,347,4
2021-08-25,359,4
2021-08-26,333,4
2021-08-27,345,4
2021-08-30,336,4
2021-08-31,375,4
2021-09-01,361,4
2021-09-02,365,4
2021-09-03,318,4
2021-09-07,422,5
2021-09-08,398,5
2021-09-09,438,5
2021-09-10,409,5
2021-09-13,487,5
2021-09-14,502,5
2021-09-15,528,5
2021-09-16,512,5
2021-09-17,438,5
2021-09-20,484,5
2021-09-21,537,5
2021-09-22,467,5
2021-09-23,507,5
2021-09-24,499,5
2021-09-27,492,5
2021-09-28,542,5
2021-09-29,565,5
2021-09-30,464,5
2021-10-01,480,5
2021-10-04,497,5
2021-10-05,565,5
2021-10-06,597,5
2021-10-07,584,5
2021-10-08,489,5
2021-10-12,532,5
2021-10-13,594,5
2021-10-14,569,5
2021-10-15,482,5
2021-10-18,528,5
2021-10-19,619,5
2021-10-20,625,5
2021-10-21,586,5
2021-10-22,492,5
2021-10-25,495,5
2021-10-26,578,5
2021-10-27,636,5
2021-10-28,619,5
2021-10-29,500,5
2021-11-01,590,5
2021-11-02,657,5
2021-11-03,712,5
2021-11-04,666,5
2021-11-05,526,5
2021-11-08,541,5
2021-11-09,661,5
2021-11-10,670,5
2021-11-11,539,5
2021-11-12,504,5
2021-11-15,610,5
2021-11-16,705,5
2021-11-17,708,5
2021-11-18,670,5
2021-11-19,561,5
2021-11-22,594,5
2021-11-23,683,5
2021-11-24,722,5
2021-11-25,653,5
2021-11-26,517,5
2021-11-29,592,5
2021-11-30,734,5
2021-12-01,714,5
2021-12-02,729,5
2021-12-03,549,5
2021-12-06,602,5
2021-12-07,687,5
2021-12-08,732,5
2021-12-09,524,5
2021-12-10,519,5
2021-12-13,585,5
2021-12-14,644,5
2021-12-15,570,5
2021-12-16,506,5
2021-12-17,429,5
2021-12-20,377,5
2021-12-21,354,5
2021-12-22,338,5
2021-12-23,297,5
2021-12-24,191,5
2021-12-29,191,5
2021-12-30,189,5
2021-12-31,145,5
2022-01-04,274,5
2022-01-05,213,5
2022-01-06,222,5
2022-01-07,230,5
2022-01-10,229,4
2022-01-11,222,4
2022-01-12,255,4
2022-01-13,245,4
2022-01-14,226,4
2022-01-17,112,4
2022-01-18,231,4
2022-01-19,291,4
2022-01-20,293,4
2022-01-21,276,4
2022-01-24,283,4
2022-01-25,320,4
2022-01-26,303,4
2022-01-27,304,4
2022-01-28,297,4
2022-01-31,352,4
2022-02-01,336,4
2022-02-02,364,4
2022-02-03,297,4
2022-02-04,315,4
2022-02-07,393,4
2022-02-08,421,4
2022-02-09,408,4
2022-02-10,397,4
2022-02-11,354,4
2022-02-14,410,4
2022-02-15,419,4
2022-02-16,476,4
2022-02-17,395,4
2022-02-18,345,4
2022-02-22,436,4
2022-02-23,500,4
2022-02-24,386,4
2022-02-25,390,4
2022-02-28,531,4
2022-03-01,600,4
2022-03-02,615,4
2022-03-03,536,4
2022-03-04,475,4
2022-03-07,582,4
2022-03-08,696,4
2022-03-09,678,4
2022-03-10,665,4
2022-03-11,537,4
2022-03-14,586,4
2022-03-15,649,4
2022-03-16,686,4
2022-03-17,628,4
2022-03-18,528,4
2022-03-21,623,4
2022-03-22,708,4
2022-03-23,706,4
2022-03-24,707,4
2022-03-25,537,4
2022-03-28,625,4
2022-03-29,782,4
2022-03-30,775,4
2022-03-31,714,4
2022-04-01,555,4
2022-04-04,766,4
2022-04-05,934,4
2022-04-06,910,4
2022-04-07,793,4
2022-04-08,578,4
2022-04-11,731,4
2022-04-12,813,4
2022-04-13,876,4
2022-04-14,742,4
2022-04-18,492,4
2022-04-19,832,4
2022-04-20,808,4
2022-04-21,735,4
2022-04-22,553,4
2022-04-25,666,4
2022-04-26,857,4
2022-04-27,865,4
2022-04-28,800,4
2022-04-29,569,4
2022-05-02,734,4
2022-05-03,922,4
2022-05-04,998,4
2022-05-05,942,4
2022-05-06,654,4
2022-05-09,801,4
2022-05-10,1027,4
2022-05-11,1036,4
2022-05-12,958,4
2022-05-13,588,4
2022-05-16,842,4
2022-05-17,1121,4
2022-05-18,1160,4
2022-05-19,994,4
2022-05-20,586,4
2022-05-24,1075,4
2022-05-25,1206,4
2022-05-26,1091,4
2022-05-27,670,4
2022-05-30,919,4
2022-05-31,1222,4
2022-06-01,1238,4
2022-06-02,1167,4
2022-06-03,724,4
2022-06-06,1038,4
2022-06-07,1291,4
2022-06-08,1386,4
2022-06-09,1229,4
2022-06-10,746,4
2022-06-13,1047,4
2022-06-14,1372,4
2022-06-15,1394,4
2022-06-16,1191,4
2022-06-17,737,4
2022-06-20,997,4
2022-06-21,1374,4
2022-06-22,1377,4
2022-06-23,1325,4
2022-06-24,725,4
2022-06-27,1020,4
2022-06-28,1426,4
2022-06-29,1322,4
2022-06-30,822,4
2022-07-04,824,4
2022-07-05,1233,4
2022-07-06,1266,4
2022-07-07,1141,4
2022-07-08,767,4
2022-07-11,998,4
2022-07-12,1305,4
2022-07-13,1326,4
2022-07-14,1149,4
2022-07-15,654,4
2022-07-18,915,4
2022-07-19,1340,4
2022-07-20,1341,4
2022-07-21,1155,4
2022-07-22,601,3
2022-07-25,936,4
2022-07-26,1292,4
2022-07-27,1318,4
2022-07-28,1108,4
2022-07-29,562,3
2022-08-02,1172,4
2022-08-03,1309,4
2022-08-04,1149,4
2022-08-05,706,4
2022-08-08,950,4
2022-08-09,1364,4
2022-08-10,1354,4
2022-08-11,1212,4
2022-08-12,685,4
2022-08-15,984,4
2022-08-16,1399,4
2022-08-17,1387,4
2022-08-18,1220,4
2022-08-19,751,4
2022-08-22,951,4
2022-08-23,1403,4
2022-08-24,1368,4
2022-08-25,1251,4
2022-08-26,716,4
2022-08-29,832,4
2022-08-30,1233,4
2022-08-31,1305,4
2022-09-01,1142,4
2022-09-02,665,4
2022-09-06,1492,4
2022-09-07,1490,4
2022-09-08,1564,4
2022-09-09,975,4
2022-09-12,1368,4
2022-09-13,1843,4
2022-09-14,1811,4
2022-09-15,1616,4
2022-09-16,998,4
2022-09-19,1274,4
2022-09-20,1851,4
2022-09-21,1797,4
2022-09-22,1655,4
2022-09-23,990,4
2022-09-26,1304,4
2022-09-27,1795,4
2022-09-28,1796,4
2022-09-29,1588,4
2022-09-30,835,4
2022-10-03,1351,4
2022-10-04,1869,4
2022-10-05,1906,4
2022-10-06,1684,4
2022-10-07,875,4
2022-10-11,1615,4
2022-10-12,1834,4
2022-10-13,1569,4
2022-10-14,857,4
2022-10-17,1350,4
2022-10-18,1899,4
2022-10-19,1865,4
2022-10-20,1635,4
2022-10-21,950,4
2022-10-24,1250,4
2022-10-25,1853,4
2022-10-26,1892,4
2022-10-27,1690,4
2022-10-28,935,4
2022-10-31,1316,4
2022-11-01,1836,4
2022-11-02,2043,4
2022-11-03,1684,4
2022-11-04,899,4
2022-11-07,1156,4
2022-11-08,1790,4
2022-11-09,1792,3
2022-11-10,1532,4
2022-11-11,575,4
2022-11-14,1300,4
2022-11-15,1859,4
2022-11-16,1702,4
2022-11-17,1632,4
2022-11-18,928,4
2022-11-21,1291,4
2022-11-22,1873,4
2022-11-23,1837,4
2022-11-24,1569,4
2022-11-25,863,4
2022-11-28,1281,4
2022-11-29,1840,4
2022-11-30,1741,4
2022-12-01,1559,4
2022-12-02,933,4
2022-12-05,1290,4
2022-12-06,1703,4
2022-12-07,1748,4
2022-12-08,1501,4
2022-12-09,850,4
2022-12-12,1291,4
2022-12-13,1757,4
2022-12-14,1738,4
2022-12-15,910,4
2022-12-16,647,4
2022-12-19,1005,4
2022-12-20,1343,4
2022-12-21,1186,4
2022-12-22,855,4
2022-12-23,262,4
2022-12-28,472,4
2022-12-29,444,4
2022-12-30,342,4
