date,ridership Stouffville OLD ELM GO AM Peak,total_train_trips Stouffville OLD ELM GO AM Peak
2021-07-29,227,3
2021-07-30,186,3
2021-08-03,259,3
2021-08-04,267,3
2021-08-05,262,3
2021-08-06,217,3
2021-08-09,292,4
2021-08-10,283,4
2021-08-11,296,4
2021-08-12,272,4
2021-08-13,222,4
2021-08-16,286,4
2021-08-17,303,4
2021-08-18,299,4
2021-08-19,307,4
2021-08-20,242,4
2021-08-23,290,4
2021-08-24,316,4
2021-08-25,301,4
2021-08-26,322,4
2021-08-27,255,4
2021-08-30,302,4
2021-08-31,320,4
2021-09-01,316,4
2021-09-02,311,4
2021-09-03,225,4
2021-09-07,415,6
2021-09-08,410,6
2021-09-09,432,6
2021-09-10,380,6
2021-09-13,476,6
2021-09-14,535,6
2021-09-15,511,6
2021-09-16,503,6
2021-09-17,412,6
2021-09-20,487,6
2021-09-21,549,6
2021-09-22,502,6
2021-09-23,545,6
2021-09-24,473,6
2021-09-27,500,6
2021-09-28,582,6
2021-09-29,560,6
2021-09-30,469,6
2021-10-01,464,6
2021-10-04,546,6
2021-10-05,643,6
2021-10-06,595,6
2021-10-07,619,6
2021-10-08,416,6
2021-10-12,583,6
2021-10-13,617,6
2021-10-14,600,6
2021-10-15,469,6
2021-10-18,551,6
2021-10-19,687,6
2021-10-20,659,6
2021-10-21,635,6
2021-10-22,483,6
2021-10-25,544,6
2021-10-26,625,6
2021-10-27,644,6
2021-10-28,650,6
2021-10-29,497,6
2021-11-01,606,6
2021-11-02,736,6
2021-11-03,741,6
2021-11-04,699,6
2021-11-05,512,6
2021-11-08,586,6
2021-11-09,727,6
2021-11-10,732,6
2021-11-11,565,6
2021-11-12,489,6
2021-11-15,627,6
2021-11-16,767,6
2021-11-17,775,6
2021-11-18,758,6
2021-11-19,532,6
2021-11-22,650,6
2021-11-23,763,6
2021-11-24,791,6
2021-11-25,697,6
2021-11-26,551,6
2021-11-29,625,6
2021-11-30,817,6
2021-12-01,796,6
2021-12-02,792,6
2021-12-03,531,6
2021-12-06,644,6
2021-12-07,769,6
2021-12-08,762,6
2021-12-09,290,6
2021-12-10,525,6
2021-12-13,647,6
2021-12-14,721,6
2021-12-15,638,6
2021-12-16,596,6
2021-12-17,386,6
2021-12-20,328,6
2021-12-21,305,6
2021-12-22,285,6
2021-12-23,243,6
2021-12-24,139,6
2021-12-29,157,6
2021-12-30,143,6
2021-12-31,122,6
2022-01-04,274,6
2022-01-05,241,6
2022-01-06,244,6
2022-01-07,200,6
2022-01-10,198,4
2022-01-11,194,4
2022-01-12,216,4
2022-01-13,216,4
2022-01-14,205,4
2022-01-17,140,4
2022-01-18,192,4
2022-01-19,257,4
2022-01-20,254,4
2022-01-21,207,4
2022-01-24,241,4
2022-01-25,257,4
2022-01-26,255,4
2022-01-27,253,4
2022-01-28,231,4
2022-01-31,275,4
2022-02-01,310,4
2022-02-02,323,4
2022-02-03,244,4
2022-02-04,223,4
2022-02-07,359,4
2022-02-08,417,4
2022-02-09,390,4
2022-02-10,384,4
2022-02-11,342,4
2022-02-14,373,4
2022-02-15,440,4
2022-02-16,441,4
2022-02-17,372,4
2022-02-18,250,4
2022-02-22,439,4
2022-02-23,465,4
2022-02-24,431,4
2022-02-25,316,4
2022-02-28,521,4
2022-03-01,631,4
2022-03-02,586,4
2022-03-03,577,4
2022-03-04,449,4
2022-03-07,565,4
2022-03-08,675,4
2022-03-09,666,4
2022-03-10,656,4
2022-03-11,453,4
2022-03-14,506,4
2022-03-15,590,4
2022-03-16,596,4
2022-03-17,557,4
2022-03-18,403,4
2022-03-21,600,4
2022-03-22,690,4
2022-03-23,724,4
2022-03-24,705,4
2022-03-25,508,4
2022-03-28,603,4
2022-03-29,800,4
2022-03-30,778,4
2022-03-31,719,4
2022-04-01,502,4
2022-04-04,745,4
2022-04-05,933,4
2022-04-06,911,4
2022-04-07,790,4
2022-04-08,537,4
2022-04-11,745,4
2022-04-12,922,4
2022-04-13,876,4
2022-04-14,766,4
2022-04-18,486,4
2022-04-19,840,4
2022-04-20,870,4
2022-04-21,810,4
2022-04-22,531,4
2022-04-25,714,4
2022-04-26,914,4
2022-04-27,887,4
2022-04-28,832,4
2022-04-29,528,4
2022-05-02,760,4
2022-05-03,983,4
2022-05-04,968,4
2022-05-05,1011,4
2022-05-06,580,4
2022-05-09,846,4
2022-05-10,1125,4
2022-05-11,1112,4
2022-05-12,1042,4
2022-05-13,586,4
2022-05-16,908,4
2022-05-17,1203,4
2022-05-18,1196,4
2022-05-19,1040,4
2022-05-20,535,4
2022-05-24,1108,4
2022-05-25,1219,4
2022-05-26,1129,4
2022-05-27,613,4
2022-05-30,918,4
2022-05-31,1289,4
2022-06-01,1299,4
2022-06-02,1178,4
2022-06-03,638,4
2022-06-06,998,4
2022-06-07,1342,4
2022-06-08,1426,4
2022-06-09,1291,4
2022-06-10,706,4
2022-06-13,1058,4
2022-06-14,1479,4
2022-06-15,1438,4
2022-06-16,1324,4
2022-06-17,655,4
2022-06-20,1009,4
2022-06-21,1448,4
2022-06-22,1452,4
2022-06-23,1407,4
2022-06-24,685,4
2022-06-27,1034,4
2022-06-28,1526,4
2022-06-29,1397,4
2022-06-30,856,4
2022-07-04,825,4
2022-07-05,1279,4
2022-07-06,1333,4
2022-07-07,1236,4
2022-07-08,648,4
2022-07-11,1020,4
2022-07-12,1439,4
2022-07-13,1444,4
2022-07-14,1289,4
2022-07-15,658,4
2022-07-18,910,4
2022-07-19,1408,4
2022-07-20,1404,4
2022-07-21,1270,4
2022-07-22,596,4
2022-07-25,949,4
2022-07-26,1389,4
2022-07-27,1383,4
2022-07-28,1186,4
2022-07-29,511,3
2022-08-02,1197,4
2022-08-03,1318,4
2022-08-04,1174,4
2022-08-05,607,4
2022-08-08,902,4
2022-08-09,1414,4
2022-08-10,1439,4
2022-08-11,1292,4
2022-08-12,617,4
2022-08-15,953,4
2022-08-16,1412,4
2022-08-17,1398,4
2022-08-18,1255,4
2022-08-19,658,4
2022-08-22,927,4
2022-08-23,1405,4
2022-08-24,1390,4
2022-08-25,1261,4
2022-08-26,646,4
2022-08-29,431,3
2022-08-30,1219,4
2022-08-31,1243,4
2022-09-01,1057,4
2022-09-02,491,4
2022-09-06,1461,4
2022-09-07,1466,4
2022-09-08,1611,4
2022-09-09,887,4
2022-09-12,1369,4
2022-09-13,1851,4
2022-09-14,1876,4
2022-09-15,1657,4
2022-09-16,902,4
2022-09-19,1322,4
2022-09-20,1934,4
2022-09-21,1847,4
2022-09-22,1773,4
2022-09-23,908,4
2022-09-26,1318,4
2022-09-27,1880,4
2022-09-28,1899,4
2022-09-29,1698,4
2022-09-30,711,4
2022-10-03,1378,4
2022-10-04,1858,4
2022-10-05,1897,4
2022-10-06,1775,4
2022-10-07,792,4
2022-10-11,1637,4
2022-10-12,1772,4
2022-10-13,1519,4
2022-10-14,802,4
2022-10-17,1339,4
2022-10-18,1868,4
2022-10-19,1853,4
2022-10-20,1688,4
2022-10-21,876,4
2022-10-24,1227,4
2022-10-25,1827,4
2022-10-26,1797,4
2022-10-27,1735,4
2022-10-28,809,4
2022-10-31,1271,4
2022-11-01,1841,4
2022-11-02,1994,4
2022-11-03,1700,4
2022-11-04,827,4
2022-11-07,1254,4
2022-11-08,1838,4
2022-11-09,1859,4
2022-11-10,1579,4
2022-11-11,334,3
2022-11-14,1292,4
2022-11-15,1930,4
2022-11-16,1694,4
2022-11-17,1676,4
2022-11-18,760,4
2022-11-21,1271,4
2022-11-22,1901,4
2022-11-23,1791,4
2022-11-24,1571,4
2022-11-25,755,4
2022-11-28,1263,4
2022-11-29,1804,4
2022-11-30,1733,4
2022-12-01,1669,4
2022-12-02,798,4
2022-12-05,1285,4
2022-12-06,1758,4
2022-12-07,1913,4
2022-12-08,1745,4
2022-12-09,825,4
2022-12-12,1250,4
2022-12-13,1689,4
2022-12-14,1799,4
2022-12-15,1050,4
2022-12-16,598,4
2022-12-19,990,4
2022-12-20,1276,4
2022-12-21,1051,4
2022-12-22,751,4
2022-12-23,242,4
2022-12-28,331,4
2022-12-29,311,4
2022-12-30,231,4
