date,ridership Milton UNION STATION,total_train_trips Milton UNION STATION
2021-09-02,763,5
2021-09-03,591,5
2021-09-07,828,10
2021-09-08,898,10
2021-09-09,899,10
2021-09-10,791,10
2021-09-13,882,10
2021-09-14,1020,10
2021-09-15,1020,10
2021-09-16,1006,10
2021-09-17,872,10
2021-09-20,915,9
2021-09-21,1048,10
2021-09-22,1030,10
2021-09-23,1073,10
2021-09-24,920,10
2021-09-27,998,10
2021-09-28,1103,10
2021-09-29,1124,10
2021-09-30,989,10
2021-10-01,891,10
2021-10-04,1002,10
2021-10-05,1156,10
2021-10-06,1148,10
2021-10-07,1084,10
2021-10-08,924,10
2021-10-12,1120,10
2021-10-13,1212,10
2021-10-14,1184,10
2021-10-15,956,10
2021-10-18,1055,9
2021-10-19,1265,10
2021-10-20,1237,10
2021-10-21,1226,10
2021-10-22,986,10
2021-10-25,1068,10
2021-10-26,1295,10
2021-10-27,1296,10
2021-10-28,1304,10
2021-10-29,901,10
2021-11-01,1149,10
2021-11-02,1376,10
2021-11-03,1438,10
2021-11-04,1352,10
2021-11-05,1053,10
2021-11-08,1181,10
2021-11-09,1401,10
2021-11-10,1437,10
2021-11-11,1078,10
2021-11-12,987,10
2021-11-15,1242,10
2021-11-16,1451,10
2021-11-17,1454,10
2021-11-18,1439,10
2021-11-19,1098,10
2021-11-22,1254,10
2021-11-23,1500,10
2021-11-24,1543,10
2021-11-25,1400,10
2021-11-26,1030,10
2021-11-29,1216,10
2021-11-30,1442,10
2021-12-01,1489,10
2021-12-02,1403,10
2021-12-03,1050,10
2021-12-06,1226,10
2021-12-07,1461,10
2021-12-08,1447,10
2021-12-09,1339,10
2021-12-10,1079,10
2021-12-13,1154,10
2021-12-14,1357,10
2021-12-15,1274,10
2021-12-16,1092,10
2021-12-17,841,10
2021-12-20,719,10
2021-12-21,714,10
2021-12-22,651,10
2021-12-23,565,10
2021-12-24,326,8
2021-12-29,390,10
2021-12-30,358,10
2021-12-31,191,8
2022-01-04,559,10
2022-01-05,498,10
2022-01-06,486,10
2022-01-07,419,10
2022-01-10,461,5
2022-01-11,428,5
2022-01-12,500,5
2022-01-13,503,5
2022-01-14,459,5
2022-01-17,194,5
2022-01-18,457,5
2022-01-19,566,5
2022-01-20,584,5
2022-01-21,527,5
2022-01-24,583,5
2022-01-25,623,5
2022-01-26,584,5
2022-01-27,618,5
2022-01-28,583,5
2022-01-31,664,5
2022-02-01,752,5
2022-02-02,733,5
2022-02-03,647,5
2022-02-04,566,5
2022-02-07,839,5
2022-02-08,863,5
2022-02-09,891,5
2022-02-10,885,5
2022-02-11,755,5
2022-02-14,867,5
2022-02-15,978,5
2022-02-16,964,5
2022-02-17,913,5
2022-02-18,642,5
2022-02-22,964,5
2022-02-23,1058,5
2022-02-24,1003,5
2022-02-25,778,5
2022-02-28,1129,5
2022-03-01,1317,5
2022-03-02,1302,5
2022-03-03,1276,5
2022-03-04,1004,5
2022-03-07,1249,5
2022-03-08,1485,5
2022-03-09,1395,5
2022-03-10,1380,5
2022-03-11,1101,5
2022-03-14,1213,5
2022-03-15,1423,5
2022-03-16,1315,5
2022-03-17,1210,5
2022-03-18,1036,5
2022-03-21,1353,5
2022-03-22,1680,5
2022-03-23,1513,5
2022-03-24,1542,5
2022-03-25,1113,5
2022-03-28,1393,5
2022-03-29,1685,5
2022-03-30,1627,5
2022-03-31,1560,5
2022-04-01,1153,5
2022-04-04,1600,5
2022-04-05,1883,5
2022-04-06,1922,5
2022-04-07,1754,5
2022-04-08,1002,5
2022-04-11,1578,5
2022-04-12,1820,5
2022-04-13,1823,5
2022-04-14,1521,5
2022-04-18,994,5
2022-04-19,1710,5
2022-04-20,1743,5
2022-04-21,1652,5
2022-04-22,1172,5
2022-04-25,1523,5
2022-04-26,1899,5
2022-04-27,1869,5
2022-04-28,1758,5
2022-04-29,1194,5
2022-05-02,1479,5
2022-05-03,1933,5
2022-05-04,1998,5
2022-05-05,1991,5
2022-05-06,1237,5
2022-05-09,1670,5
2022-05-10,2145,5
2022-05-11,2221,5
2022-05-12,2023,5
2022-05-13,1205,5
2022-05-16,1806,5
2022-05-17,2364,5
2022-05-18,2352,5
2022-05-19,2132,5
2022-05-20,1107,5
2022-05-24,2202,5
2022-05-25,2422,5
2022-05-26,2253,5
2022-05-27,1325,5
2022-05-30,1946,5
2022-05-31,2520,5
2022-06-01,2491,5
2022-06-02,2317,5
2022-06-03,1345,5
2022-06-06,1839,5
2022-06-07,2411,5
2022-06-08,2739,5
2022-06-09,2529,5
2022-06-10,1411,5
2022-06-13,2097,5
2022-06-14,2770,5
2022-06-15,2840,5
2022-06-16,2019,5
2022-06-17,1515,5
2022-06-20,2067,5
2022-06-21,2861,5
2022-06-22,2837,5
2022-06-23,2668,5
2022-06-24,1410,5
2022-06-27,2103,5
2022-06-28,2859,5
2022-06-29,2619,5
2022-06-30,1672,5
2022-07-04,1710,5
2022-07-05,2460,5
2022-07-06,2623,5
2022-07-07,2344,5
2022-07-08,1431,5
2022-07-11,2044,5
2022-07-12,2691,5
2022-07-13,2653,5
2022-07-14,2399,5
2022-07-15,1259,5
2022-07-18,1895,5
2022-07-19,2675,5
2022-07-20,2690,5
2022-07-21,2416,5
2022-07-22,1292,5
2022-07-25,1944,5
2022-07-26,2594,5
2022-07-27,2636,5
2022-07-28,2249,5
2022-07-29,1113,5
2022-08-02,2334,5
2022-08-03,2505,5
2022-08-04,2296,5
2022-08-05,1234,5
2022-08-08,1917,5
2022-08-09,2666,5
2022-08-10,2850,5
2022-08-11,2275,5
2022-08-12,994,5
2022-08-15,1989,5
2022-08-16,2750,5
2022-08-17,2835,5
2022-08-18,2441,5
2022-08-19,1342,4
2022-08-22,1867,5
2022-08-23,2740,5
2022-08-24,2757,5
2022-08-25,2469,5
2022-08-26,1324,5
2022-08-29,1968,5
2022-08-30,2257,5
2022-08-31,2548,5
2022-09-01,2220,5
2022-09-02,1096,5
2022-09-06,2764,5
2022-09-07,3195,5
2022-09-08,3141,5
2022-09-09,1877,5
2022-09-12,2695,5
2022-09-13,3687,5
2022-09-14,3634,5
2022-09-15,3475,5
2022-09-16,1881,5
2022-09-19,2580,5
2022-09-20,3783,5
2022-09-21,3712,5
2022-09-22,3416,5
2022-09-23,1848,5
2022-09-26,2617,5
2022-09-27,3628,5
2022-09-28,3604,5
2022-09-29,3239,5
2022-09-30,1482,5
2022-10-03,2727,5
2022-10-04,3742,5
2022-10-05,3748,5
2022-10-06,3460,5
2022-10-07,1615,5
2022-10-11,3264,5
2022-10-12,3543,5
2022-10-13,3216,5
2022-10-14,1663,5
2022-10-17,2744,6
2022-10-18,3840,6
2022-10-19,3772,6
2022-10-20,3397,6
2022-10-21,1830,6
2022-10-24,2465,6
2022-10-25,3758,6
2022-10-26,3741,6
2022-10-27,3511,6
2022-10-28,1830,6
2022-10-31,2521,6
2022-11-01,3766,6
2022-11-02,4102,6
2022-11-03,3452,6
2022-11-04,1773,6
2022-11-07,2505,6
2022-11-08,3943,6
2022-11-09,3785,6
2022-11-10,3329,6
2022-11-11,1440,6
2022-11-14,2645,6
2022-11-15,3802,6
2022-11-16,3257,6
2022-11-17,3438,6
2022-11-18,1788,6
2022-11-20,78,1
2022-11-21,2625,6
2022-11-22,3774,6
2022-11-23,3707,6
2022-11-24,3198,6
2022-11-25,1735,6
2022-11-28,2637,6
2022-11-29,3750,6
2022-11-30,3658,6
2022-12-01,3289,6
2022-12-02,1824,6
2022-12-05,2591,6
2022-12-06,3566,6
2022-12-07,3678,6
2022-12-08,3376,6
2022-12-09,1650,6
2022-12-12,2479,6
2022-12-13,3526,6
2022-12-14,3491,6
2022-12-15,1827,5
2022-12-16,1328,5
2022-12-19,1964,6
2022-12-20,2552,6
2022-12-21,2275,6
2022-12-22,1535,6
2022-12-23,443,5
2022-12-28,804,6
2022-12-29,811,6
2022-12-30,540,6
