date,ridership Lakeshore West HAMILTON GO CENTRE AM Peak,total_train_trips Lakeshore West HAMILTON GO CENTRE AM Peak
2021-05-19,173,2
2021-05-20,176,2
2021-05-21,152,2
2021-05-25,189,2
2021-05-26,163,2
2021-05-27,187,2
2021-05-28,158,2
2021-05-31,169,2
2021-06-01,186,2
2021-06-02,199,2
2021-06-03,182,2
2021-06-04,154,2
2021-06-07,185,2
2021-06-08,185,2
2021-06-09,182,2
2021-06-10,78,1
2021-06-11,160,2
2021-06-14,200,2
2021-06-15,204,2
2021-06-16,220,2
2021-06-17,209,2
2021-06-18,178,2
2021-06-21,196,2
2021-06-22,213,2
2021-06-23,204,2
2021-06-24,221,2
2021-06-25,181,2
2021-06-28,189,2
2021-06-29,189,2
2021-06-30,206,2
2021-07-02,130,2
2021-07-05,220,2
2021-07-06,249,2
2021-07-07,224,2
2021-07-08,230,2
2021-07-09,200,2
2021-07-12,236,2
2021-07-13,244,2
2021-07-14,247,2
2021-07-15,229,2
2021-07-16,203,2
2021-07-19,248,2
2021-07-20,253,2
2021-07-21,268,2
2021-07-22,248,2
2021-07-26,226,2
2021-07-27,264,2
2021-07-28,273,2
2021-07-29,260,2
2021-07-30,216,2
2021-08-03,259,2
2021-08-04,255,2
2021-08-05,250,2
2021-08-06,214,2
2021-08-09,367,4
2021-08-10,390,4
2021-08-11,395,4
2021-08-12,386,4
2021-08-13,324,4
2021-08-16,427,4
2021-08-17,432,4
2021-08-18,467,4
2021-08-19,450,4
2021-08-20,363,4
2021-08-23,423,4
2021-08-24,453,4
2021-08-25,467,4
2021-08-26,444,4
2021-08-27,355,4
2021-08-30,439,4
2021-08-31,496,4
2021-09-01,482,4
2021-09-02,497,4
2021-09-03,335,4
2021-09-07,681,4
2021-09-08,741,4
2021-09-09,732,4
2021-09-10,595,4
2021-09-13,805,4
2021-09-14,884,4
2021-09-15,906,4
2021-09-16,890,4
2021-09-17,673,4
2021-09-20,806,4
2021-09-21,938,4
2021-09-22,912,4
2021-09-23,948,4
2021-09-24,677,4
2021-09-27,884,4
2021-09-28,976,4
2021-09-29,1016,4
2021-09-30,807,4
2021-10-01,682,4
2021-10-04,918,4
2021-10-05,1062,4
2021-10-06,1090,4
2021-10-07,1064,4
2021-10-08,650,4
2021-10-12,1071,4
2021-10-13,1119,4
2021-10-14,1113,4
2021-10-15,766,4
2021-10-18,1055,4
2021-10-19,1194,4
2021-10-20,1207,4
2021-10-21,1209,4
2021-10-22,800,4
2021-10-25,993,4
2021-10-26,1198,4
2021-10-27,1197,4
2021-10-28,1203,4
2021-10-29,829,4
2021-11-01,1131,4
2021-11-02,1252,4
2021-11-03,1352,4
2021-11-04,1306,4
2021-11-05,869,4
2021-11-08,1171,4
2021-11-09,1389,4
2021-11-10,1348,4
2021-11-11,1046,4
2021-11-12,836,4
2021-11-15,1151,4
2021-11-16,1352,4
2021-11-17,1405,4
2021-11-18,1395,4
2021-11-19,895,4
2021-11-22,1189,4
2021-11-23,1426,4
2021-11-24,1413,4
2021-11-25,1263,4
2021-11-26,833,4
2021-11-29,1185,4
2021-11-30,1454,4
2021-12-01,1446,4
2021-12-02,1433,4
2021-12-03,954,4
2021-12-06,1143,4
2021-12-07,1406,4
2021-12-08,1383,4
2021-12-09,1285,4
2021-12-10,888,4
2021-12-13,1144,4
2021-12-14,1274,4
2021-12-15,1180,4
2021-12-16,936,4
2021-12-17,621,4
2021-12-20,529,4
2021-12-21,504,4
2021-12-22,440,4
2021-12-23,371,4
2021-12-24,171,4
2021-12-29,250,4
2021-12-30,228,4
2021-12-31,145,4
2022-01-04,404,4
2022-01-05,410,4
2022-01-06,385,4
2022-01-07,325,4
2022-01-10,386,4
2022-01-11,353,4
2022-01-12,347,4
2022-01-13,352,4
2022-01-14,283,4
2022-01-17,151,4
2022-01-18,225,2
2022-01-19,257,2
2022-01-20,235,2
2022-01-21,196,2
2022-01-24,236,2
2022-01-25,241,2
2022-01-26,235,2
