date,ridership Barrie UNION STATION PM Peak,total_train_trips Barrie UNION STATION PM Peak
2021-03-17,353,4
2021-03-18,384,4
2021-03-19,342,4
2021-03-22,350,4
2021-03-23,365,4
2021-03-24,376,4
2021-03-25,386,4
2021-03-26,345,4
2021-03-29,346,4
2021-03-30,378,4
2021-03-31,362,4
2021-04-01,389,4
2021-04-05,239,4
2021-04-06,360,4
2021-04-07,336,4
2021-04-08,323,4
2021-04-09,301,4
2021-04-12,283,4
2021-04-13,302,4
2021-04-14,325,4
2021-04-15,303,4
2021-04-16,260,4
2021-04-19,279,4
2021-04-20,281,4
2021-04-21,273,4
2021-04-22,271,4
2021-04-23,256,4
2021-04-26,265,4
2021-04-27,297,4
2021-04-28,277,4
2021-04-29,274,4
2021-04-30,261,4
2021-05-03,294,4
2021-05-04,299,4
2021-05-05,282,4
2021-05-06,304,4
2021-05-07,297,4
2021-05-10,295,4
2021-05-11,306,4
2021-05-12,305,4
2021-05-13,304,4
2021-05-14,275,4
2021-05-17,299,4
2021-05-18,317,4
2021-05-19,303,4
2021-05-20,308,4
2021-05-21,313,4
2021-05-25,326,4
2021-05-26,307,4
2021-05-27,327,4
2021-05-28,301,4
2021-05-31,309,4
2021-06-01,324,4
2021-06-02,335,4
2021-06-03,334,4
2021-06-04,345,4
2021-06-07,330,4
2021-06-08,345,4
2021-06-09,359,4
2021-06-10,386,4
2021-06-11,364,4
2021-06-14,345,4
2021-06-15,386,4
2021-06-16,363,4
2021-06-17,405,4
2021-06-18,403,4
2021-06-21,389,4
2021-06-22,425,4
2021-06-23,398,4
2021-06-24,399,4
2021-06-25,371,4
2021-06-28,392,4
2021-06-29,415,4
2021-06-30,459,4
2021-07-02,282,4
2021-07-05,407,4
2021-07-06,429,4
2021-07-07,452,4
2021-07-08,441,4
2021-07-09,468,4
2021-07-12,449,4
2021-07-13,480,4
2021-07-14,487,4
2021-07-15,487,4
2021-07-16,452,4
2021-07-19,465,4
2021-07-20,486,4
2021-07-21,500,4
2021-07-22,496,4
2021-07-23,471,4
2021-07-26,476,4
2021-07-27,522,4
2021-07-28,499,4
2021-07-29,516,4
2021-07-30,508,4
2021-08-03,522,4
2021-08-04,578,4
2021-08-05,555,4
2021-08-06,526,4
2021-08-09,513,4
2021-08-10,536,4
2021-08-11,563,4
2021-08-12,580,4
2021-08-13,503,4
2021-08-16,532,4
2021-08-17,608,4
2021-08-18,571,4
2021-08-19,576,4
2021-08-20,522,4
2021-08-23,521,4
2021-08-24,586,4
2021-08-25,550,4
2021-08-26,575,4
2021-08-27,534,4
2021-08-30,586,4
2021-08-31,596,4
2021-09-01,631,4
2021-09-02,612,4
2021-09-03,578,4
2021-09-07,673,6
2021-09-08,673,6
2021-09-09,693,6
2021-09-10,612,6
2021-09-13,721,6
2021-09-14,753,6
2021-09-15,747,6
2021-09-16,754,6
2021-09-17,596,6
2021-09-20,705,6
2021-09-21,776,6
2021-09-22,736,6
2021-09-23,763,6
2021-09-24,690,6
2021-09-27,744,6
2021-09-28,802,6
2021-09-29,792,6
2021-09-30,677,6
2021-10-01,654,6
2021-10-04,777,6
