date,ridership Richmond Hill UNION STATION PM Peak,total_train_trips Richmond Hill UNION STATION PM Peak
2021-11-03,379,5
2021-11-04,363,5
2021-11-05,238,5
2021-11-08,333,5
2021-11-09,400,5
2021-11-10,388,5
2021-11-11,316,5
2021-11-12,244,5
2021-11-15,349,5
2021-11-16,426,5
2021-11-17,418,5
2021-11-18,396,5
2021-11-19,289,5
2021-11-22,347,5
2021-11-23,436,5
2021-11-24,427,5
2021-11-25,399,5
2021-11-26,271,5
2021-11-29,265,4
2021-11-30,337,4
2021-12-01,303,4
2021-12-02,299,4
2021-12-03,224,4
2021-12-06,329,5
2021-12-07,399,5
2021-12-08,383,5
2021-12-09,363,5
2021-12-10,276,5
2021-12-13,309,5
2021-12-14,346,5
2021-12-15,307,5
2021-12-16,262,5
2021-12-17,190,5
2021-12-20,162,5
2021-12-21,174,5
2021-12-22,147,5
2021-12-23,101,5
2021-12-24,47,3
2021-12-29,80,5
2021-12-30,74,5
2021-12-31,36,3
2022-01-04,105,5
2022-01-05,117,5
2022-01-06,115,5
2022-01-07,86,5
2022-01-10,111,3
2022-01-11,78,3
2022-01-12,106,3
2022-01-13,109,3
2022-01-14,97,3
2022-01-17,59,3
2022-01-18,112,3
2022-01-19,138,3
2022-01-20,132,3
2022-01-21,110,3
2022-01-24,130,3
2022-01-25,139,3
2022-01-26,145,3
2022-01-27,137,3
2022-01-28,119,3
2022-01-31,138,3
2022-02-01,154,3
2022-02-02,169,3
2022-02-03,148,3
2022-02-04,143,3
2022-02-07,198,3
2022-02-08,213,3
2022-02-09,208,3
2022-02-10,219,3
2022-02-11,174,3
2022-02-14,189,3
2022-02-15,239,3
2022-02-16,253,3
2022-02-17,192,3
2022-02-18,163,3
2022-02-22,233,3
2022-02-23,249,3
2022-02-24,235,3
2022-02-25,173,3
2022-02-28,220,3
2022-03-01,325,3
2022-03-02,322,3
2022-03-03,305,3
2022-03-04,231,3
2022-03-07,274,3
2022-03-08,353,3
2022-03-09,373,3
2022-03-10,339,3
2022-03-11,220,3
2022-03-14,275,3
2022-03-15,324,3
2022-03-16,333,3
2022-03-17,318,3
2022-03-18,236,3
2022-03-21,326,3
2022-03-22,415,3
2022-03-23,374,3
2022-03-24,383,3
2022-03-25,257,3
2022-03-28,340,3
2022-03-29,460,3
2022-03-30,470,3
2022-03-31,390,3
2022-04-01,270,3
2022-04-04,413,3
2022-04-05,544,3
2022-04-06,518,3
2022-04-07,470,3
2022-04-08,303,3
2022-04-11,435,3
2022-04-12,562,3
2022-04-13,526,3
2022-04-14,425,3
2022-04-18,299,3
2022-04-19,466,3
2022-04-20,510,3
2022-04-21,480,3
2022-04-22,293,3
2022-04-25,417,3
2022-04-26,513,3
2022-04-27,544,3
2022-04-28,532,3
2022-04-29,288,3
2022-05-02,505,3
2022-05-03,596,3
2022-05-04,592,3
2022-05-05,570,3
2022-05-06,359,3
2022-05-09,521,3
2022-05-10,681,3
2022-05-11,655,3
2022-05-12,616,3
2022-05-13,346,3
2022-05-16,582,3
2022-05-17,754,3
2022-05-18,736,3
2022-05-19,668,3
2022-05-20,302,3
2022-05-24,575,3
2022-05-25,754,3
2022-05-26,696,3
2022-05-27,367,3
2022-05-30,587,3
2022-05-31,817,3
2022-06-01,768,3
2022-06-02,699,3
2022-06-03,353,3
2022-06-06,590,3
2022-06-07,762,3
2022-06-08,821,3
2022-06-09,787,3
2022-06-10,373,3
2022-06-13,633,3
2022-06-14,885,3
2022-06-15,913,3
2022-06-16,836,3
2022-06-17,391,3
2022-06-20,594,3
2022-06-21,854,3
2022-06-22,893,3
2022-06-23,841,3
2022-06-24,364,3
2022-06-27,631,3
2022-06-28,884,3
2022-06-29,844,3
2022-06-30,530,3
2022-07-04,510,3
2022-07-05,788,3
2022-07-06,791,3
2022-07-07,756,3
2022-07-08,384,3
2022-07-11,604,3
2022-07-12,853,3
2022-07-13,790,3
2022-07-14,739,3
2022-07-15,318,3
2022-07-18,559,3
2022-07-19,823,3
2022-07-20,855,3
2022-07-21,711,3
2022-07-22,381,3
2022-07-25,557,3
2022-07-26,808,3
2022-07-27,809,3
2022-07-28,726,3
2022-07-29,287,3
2022-08-02,751,3
2022-08-03,793,3
2022-08-04,711,3
2022-08-05,311,3
2022-08-08,578,3
2022-08-09,840,3
2022-08-10,890,3
2022-08-11,713,3
2022-08-12,322,3
2022-08-15,580,3
2022-08-16,854,3
2022-08-17,915,3
2022-08-18,807,3
2022-08-19,334,3
2022-08-22,559,3
2022-08-23,890,3
2022-08-24,881,3
2022-08-25,420,2
2022-08-26,235,2
2022-08-29,561,3
2022-08-30,740,3
2022-08-31,779,3
2022-09-01,682,3
2022-09-02,280,3
2022-09-06,856,3
2022-09-07,890,3
2022-09-08,983,3
2022-09-09,460,3
2022-09-12,757,3
2022-09-13,1110,3
2022-09-14,1096,3
2022-09-15,1001,3
2022-09-16,448,3
2022-09-19,751,3
2022-09-20,1152,3
2022-09-21,1100,3
2022-09-22,1035,3
2022-09-23,434,3
2022-09-26,762,3
2022-09-27,1115,3
2022-09-28,1120,3
2022-09-29,939,3
2022-09-30,325,3
2022-10-03,808,3
2022-10-04,1148,3
2022-10-05,1143,3
2022-10-06,1108,3
2022-10-07,401,3
2022-10-11,1099,3
2022-10-12,1169,3
2022-10-13,1042,3
2022-10-14,453,3
2022-10-17,787,3
2022-10-18,1185,3
2022-10-19,1154,3
2022-10-20,1007,3
2022-10-21,439,3
2022-10-24,755,3
2022-10-25,1185,3
2022-10-26,1139,3
2022-10-27,1073,3
2022-10-28,458,3
2022-10-31,728,3
2022-11-01,1166,3
2022-11-02,1254,3
2022-11-03,1055,3
2022-11-04,432,3
2022-11-07,696,3
2022-11-08,1142,3
2022-11-09,1158,3
2022-11-10,950,3
2022-11-11,283,3
2022-11-14,742,3
2022-11-15,1119,3
2022-11-16,1066,3
2022-11-17,1022,3
2022-11-18,401,3
2022-11-21,705,3
2022-11-22,1151,3
2022-11-23,1127,3
2022-11-24,953,3
2022-11-25,377,3
2022-11-28,751,3
2022-11-29,1153,3
2022-11-30,1116,3
2022-12-01,987,3
2022-12-02,444,3
2022-12-05,732,3
2022-12-06,1108,3
2022-12-07,1111,3
2022-12-08,961,3
2022-12-09,396,3
2022-12-12,730,3
2022-12-13,1092,3
2022-12-14,1073,3
2022-12-15,512,3
2022-12-16,307,3
2022-12-19,520,3
2022-12-20,720,3
2022-12-21,594,3
2022-12-22,422,3
2022-12-23,106,3
2022-12-28,193,3
2022-12-29,179,3
2022-12-30,112,3
