date,ridership Richmond Hill,total_train_trips Richmond Hill
2022-06-02,1602,7
2022-06-03,803,7
2022-06-06,1321,7
2022-06-07,1767,7
2022-06-08,1802,7
2022-06-09,1743,7
2022-06-10,846,7
2022-06-13,1418,7
2022-06-14,2013,7
2022-06-15,2121,7
2022-06-16,1951,7
2022-06-17,864,7
2022-06-20,1346,7
2022-06-21,1882,7
2022-06-22,2058,7
2022-06-23,1953,7
2022-06-24,851,7
2022-06-27,1400,7
2022-06-28,2079,7
2022-06-29,1957,7
2022-06-30,1196,7
2022-07-04,1117,7
2022-07-05,1741,7
2022-07-06,1810,7
2022-07-07,1747,7
2022-07-08,854,7
2022-07-11,1355,7
2022-07-12,1912,7
2022-07-13,1901,7
2022-07-14,1730,7
2022-07-15,719,7
2022-07-18,1236,7
2022-07-19,1857,7
2022-07-20,1956,7
2022-07-21,1561,6
2022-07-22,746,6
2022-07-25,1216,7
2022-07-26,1832,7
2022-07-27,1899,7
2022-07-28,1681,7
2022-07-29,637,7
2022-08-02,1683,7
2022-08-03,1698,6
2022-08-04,1523,6
2022-08-05,669,6
2022-08-08,1201,6
2022-08-09,1779,6
2022-08-10,1916,6
2022-08-11,1590,6
2022-08-12,661,6
2022-08-15,1233,6
2022-08-16,1807,6
2022-08-17,1919,6
2022-08-18,1732,6
2022-08-19,696,6
2022-08-22,1169,6
2022-08-23,1846,6
2022-08-24,1864,6
2022-08-25,917,4
2022-08-26,450,4
2022-08-29,1172,6
2022-08-30,1589,6
2022-08-31,1633,6
2022-09-01,1445,6
2022-09-02,564,6
2022-09-06,1819,6
2022-09-07,1870,6
2022-09-08,2083,6
2022-09-09,975,6
2022-09-12,1570,6
2022-09-13,2322,6
2022-09-14,2347,6
2022-09-15,2129,6
2022-09-16,923,6
2022-09-19,1566,6
2022-09-20,2420,6
2022-09-21,2339,6
2022-09-22,2238,6
2022-09-23,953,6
2022-09-26,1589,6
2022-09-27,2292,6
2022-09-28,2353,6
2022-09-29,2014,6
2022-09-30,680,6
2022-10-03,1673,6
2022-10-04,2393,6
2022-10-05,2407,6
2022-10-06,2278,6
2022-10-07,833,6
2022-10-11,2339,7
2022-10-12,2557,7
2022-10-13,2257,7
2022-10-14,976,7
2022-10-17,1726,7
2022-10-18,2586,7
2022-10-19,2556,7
2022-10-20,2261,7
2022-10-21,987,7
2022-10-24,1645,7
2022-10-25,2555,7
2022-10-26,2556,7
2022-10-27,2406,7
2022-10-28,1001,7
2022-10-31,1552,7
2022-11-01,2557,7
2022-11-02,2792,7
2022-11-03,2356,7
2022-11-04,952,7
2022-11-07,1530,7
2022-11-08,2398,7
2022-11-09,2502,7
2022-11-10,2142,7
2022-11-11,640,7
2022-11-14,1615,7
2022-11-15,2499,7
2022-11-16,2346,7
2022-11-17,2276,7
2022-11-18,891,7
2022-11-21,1524,7
2022-11-22,2513,7
2022-11-23,2466,7
2022-11-24,2122,7
2022-11-25,873,7
2022-11-28,1620,7
2022-11-29,2562,7
2022-11-30,2452,7
2022-12-01,2301,7
2022-12-02,985,7
2022-12-05,1665,7
2022-12-06,2456,7
2022-12-07,2567,7
2022-12-08,2284,7
2022-12-09,930,7
2022-12-12,1609,7
2022-12-13,2464,7
2022-12-14,2458,7
2022-12-15,1269,7
2022-12-16,709,7
2022-12-19,1172,7
2022-12-20,1637,7
2022-12-21,1256,6
2022-12-22,921,7
2022-12-23,216,7
2022-12-28,391,7
2022-12-29,376,7
2022-12-30,240,7
