date,ridership Stouffville MOUNT JOY GO,total_train_trips Stouffville MOUNT JOY GO
2021-10-08,306,10
2021-10-12,262,10
2021-10-13,312,10
2021-10-14,258,10
2021-10-15,324,10
2021-10-16,377,12
2021-10-17,222,12
2021-10-18,223,10
2021-10-19,213,10
2021-10-20,267,10
2021-10-21,241,10
2021-10-22,290,6
2021-10-25,203,10
2021-10-26,220,10
2021-10-27,281,10
2021-10-28,255,10
2021-10-29,335,10
2021-10-30,386,12
2021-10-31,287,12
2021-11-01,196,10
2021-11-02,242,10
2021-11-03,257,10
2021-11-04,265,10
2021-11-05,314,10
2021-11-06,561,12
2021-11-07,467,12
2021-11-08,206,10
2021-11-09,189,10
2021-11-10,209,10
2021-11-11,215,10
2021-11-12,320,10
2021-11-13,358,12
2021-11-14,277,12
2021-11-15,254,10
2021-11-16,245,10
2021-11-17,235,10
2021-11-18,252,10
2021-11-19,336,10
2021-11-20,383,12
2021-11-21,222,12
2021-11-22,205,10
2021-11-23,220,10
2021-11-24,257,10
2021-11-25,231,10
2021-11-26,299,10
2021-11-27,564,12
2021-11-28,462,12
2021-11-29,212,10
2021-11-30,238,10
2021-12-01,288,10
2021-12-02,289,10
2021-12-03,319,10
2021-12-04,513,12
2021-12-05,509,12
2021-12-06,183,10
2021-12-07,224,10
2021-12-08,230,10
2021-12-09,236,10
2021-12-10,307,10
2021-12-11,477,12
2021-12-12,342,12
2021-12-13,215,10
2021-12-14,197,10
2021-12-15,241,10
2021-12-16,245,10
2021-12-17,278,10
2021-12-18,259,12
2021-12-19,180,12
2021-12-20,255,10
2021-12-21,220,10
2021-12-22,245,10
2021-12-23,210,10
2021-12-24,136,10
2021-12-25,95,12
2021-12-26,162,12
2021-12-27,173,12
2021-12-28,242,12
2021-12-29,181,10
2021-12-30,174,10
2021-12-31,167,10
2022-01-01,135,11
2022-01-02,124,12
2022-01-03,159,12
2022-01-04,131,10
2022-01-05,100,10
2022-01-06,80,8
2022-01-07,87,10
2022-01-08,102,12
2022-01-09,106,12
2022-01-10,93,10
2022-01-11,81,11
2022-01-12,98,11
2022-01-13,116,11
2022-01-14,97,11
2022-01-15,97,12
2022-01-16,91,12
2022-01-17,33,10
2022-01-18,88,8
2022-01-19,129,8
2022-01-20,133,8
2022-01-21,128,8
2022-01-24,112,8
2022-01-25,102,8
2022-01-26,109,8
2022-01-27,143,8
2022-01-28,153,8
2022-01-31,157,8
2022-02-01,185,8
2022-02-02,153,8
2022-02-03,151,8
2022-02-04,193,8
2022-02-07,192,8
2022-02-08,181,8
2022-02-09,202,8
2022-02-10,210,8
2022-02-11,216,8
2022-02-14,217,8
2022-02-15,175,8
2022-02-16,219,8
2022-02-17,226,8
2022-02-18,267,8
2022-02-22,227,8
2022-02-23,298,8
2022-02-24,247,8
2022-02-25,274,8
2022-02-28,308,8
2022-03-01,310,8
2022-03-02,342,8
2022-03-03,340,8
2022-03-04,383,8
2022-03-07,291,8
2022-03-08,351,8
2022-03-09,361,8
2022-03-10,379,8
2022-03-11,405,8
2022-03-14,409,8
2022-03-15,475,8
2022-03-16,539,8
2022-03-17,632,8
2022-03-18,567,8
2022-03-21,367,8
2022-03-22,364,8
2022-03-23,343,8
2022-03-24,359,8
2022-03-25,410,8
2022-03-28,336,8
2022-03-29,345,8
2022-03-30,353,8
2022-03-31,408,8
2022-04-01,369,8
2022-04-04,310,8
2022-04-05,365,8
2022-04-06,359,8
2022-04-07,384,8
2022-04-08,445,8
2022-04-11,282,8
2022-04-12,343,8
2022-04-13,330,8
2022-04-14,397,8
2022-04-18,292,8
2022-04-19,305,8
2022-04-20,363,8
2022-04-21,264,8
2022-04-22,394,8
2022-04-25,297,8
2022-04-26,356,8
2022-04-27,349,8
2022-04-28,461,8
2022-04-29,465,8
2022-05-02,308,8
2022-05-03,309,8
2022-05-04,414,8
2022-05-05,409,8
2022-05-06,505,8
2022-05-09,342,8
2022-05-10,406,8
2022-05-11,384,8
2022-05-12,399,8
2022-05-13,437,8
2022-05-16,284,8
2022-05-17,390,8
2022-05-18,443,8
2022-05-19,389,8
2022-05-20,439,8
2022-05-24,290,10
2022-05-25,324,10
2022-05-26,339,10
2022-05-27,362,10
2022-05-28,759,12
2022-05-29,512,12
2022-05-30,286,10
2022-05-31,299,10
2022-06-01,382,10
2022-06-02,418,10
2022-06-03,472,10
2022-06-04,862,12
2022-06-05,801,12
2022-06-06,262,10
2022-06-07,289,10
2022-06-08,399,10
2022-06-09,388,10
2022-06-10,330,6
2022-06-13,350,10
2022-06-14,390,10
2022-06-15,361,10
2022-06-16,494,9
2022-06-17,585,10
2022-06-18,874,12
2022-06-19,733,12
2022-06-20,371,10
2022-06-21,373,9
2022-06-22,470,9
2022-06-23,473,10
2022-06-24,562,10
2022-06-25,1089,12
2022-06-26,923,12
2022-06-27,404,9
2022-06-28,457,10
2022-06-29,493,10
2022-06-30,513,10
2022-07-01,881,12
2022-07-02,1191,12
2022-07-03,693,12
2022-07-04,429,10
2022-07-05,334,10
2022-07-06,485,10
2022-07-07,418,10
2022-07-08,536,9
2022-07-09,1147,12
2022-07-10,652,12
2022-07-11,348,10
2022-07-12,379,10
2022-07-13,414,10
2022-07-14,428,10
2022-07-15,492,10
2022-07-16,966,10
2022-07-17,725,11
2022-07-18,327,10
2022-07-19,368,9
2022-07-20,426,10
2022-07-21,446,9
2022-07-22,523,9
2022-07-23,930,10
2022-07-24,524,12
2022-07-25,396,10
2022-07-26,483,10
2022-07-27,544,10
2022-07-28,497,10
2022-07-29,621,10
2022-07-30,1101,7
2022-07-31,872,12
2022-08-01,606,12
2022-08-02,408,9
2022-08-03,476,10
2022-08-04,370,9
2022-08-05,489,9
2022-08-06,1050,11
2022-08-07,606,11
2022-08-08,406,10
2022-08-09,418,10
2022-08-10,483,10
2022-08-11,516,10
2022-08-12,664,10
2022-08-13,1275,7
2022-08-14,831,7
2022-08-15,545,10
2022-08-16,611,10
2022-08-17,649,10
2022-08-18,504,10
2022-08-19,714,10
2022-08-20,1162,7
2022-08-21,755,7
2022-08-22,460,10
2022-08-23,565,10
2022-08-24,712,10
2022-08-25,697,10
2022-08-26,505,6
2022-08-27,1580,7
2022-08-28,1212,7
2022-08-29,590,8
2022-08-30,571,11
2022-08-31,902,10
2022-09-01,888,10
2022-09-02,810,9
2022-09-03,1351,7
2022-09-04,1031,7
2022-09-05,792,7
2022-09-06,609,10
2022-09-07,652,10
2022-09-08,651,10
2022-09-09,666,10
2022-09-10,968,12
2022-09-11,716,12
2022-09-12,602,10
2022-09-13,664,10
