date,ridership Milton,total_train_trips Milton
2022-01-12,979,10
2022-01-13,986,10
2022-01-14,866,10
2022-01-17,464,10
2022-01-18,836,10
2022-01-19,1080,10
2022-01-20,1139,10
2022-01-21,988,10
2022-01-24,1127,10
2022-01-25,1216,10
2022-01-26,1130,10
2022-01-27,1204,10
2022-01-28,1084,10
2022-01-31,1305,10
2022-02-01,1468,10
2022-02-02,1430,10
2022-02-03,1255,10
2022-02-04,1146,10
2022-02-07,1670,10
2022-02-08,1762,10
2022-02-09,1788,10
2022-02-10,1793,10
2022-02-11,1458,10
2022-02-14,1724,10
2022-02-15,1936,10
2022-02-16,1926,10
2022-02-17,1823,10
2022-02-18,1205,10
2022-02-22,1911,10
2022-02-23,2081,10
2022-02-24,1995,10
2022-02-25,1531,10
2022-02-28,2302,10
2022-03-01,2741,10
2022-03-02,2638,10
2022-03-03,2622,10
2022-03-04,2055,10
2022-03-07,2505,10
2022-03-08,3026,10
2022-03-09,2878,10
2022-03-10,2856,10
2022-03-11,2173,10
2022-03-14,2432,10
2022-03-15,2863,10
2022-03-16,2749,10
2022-03-17,2110,10
2022-03-18,2011,10
2022-03-21,2686,10
2022-03-22,3353,10
2022-03-23,3102,10
2022-03-24,3189,10
2022-03-25,2209,10
2022-03-28,2825,10
2022-03-29,3407,10
2022-03-30,3349,10
2022-03-31,3220,10
2022-04-01,2306,10
2022-04-04,3227,10
2022-04-05,3812,10
2022-04-06,3884,10
2022-04-07,3605,10
2022-04-08,2178,10
2022-04-11,3164,10
2022-04-12,3735,10
2022-04-13,3666,10
2022-04-14,3109,10
2022-04-18,1978,10
2022-04-19,3514,10
2022-04-20,3556,10
2022-04-21,3403,10
2022-04-22,2320,10
2022-04-25,3061,10
2022-04-26,3830,10
2022-04-27,3756,10
2022-04-28,3711,10
2022-04-29,2389,10
2022-05-02,2972,10
2022-05-03,3936,10
2022-05-04,4096,10
2022-05-05,4121,10
2022-05-06,2541,10
2022-05-09,3379,10
2022-05-10,4447,10
2022-05-11,4549,10
2022-05-12,4234,10
2022-05-13,2472,10
2022-05-16,3660,10
2022-05-17,4845,10
2022-05-18,4881,10
2022-05-19,4425,10
2022-05-20,2253,10
2022-05-24,4543,10
2022-05-25,4967,10
2022-05-26,4689,10
2022-05-27,2682,10
2022-05-30,3877,10
2022-05-31,5191,10
2022-06-01,5200,10
2022-06-02,4776,10
2022-06-03,2706,10
2022-06-06,3843,10
2022-06-07,5145,10
2022-06-08,5638,10
2022-06-09,5259,10
2022-06-10,2844,10
2022-06-13,4260,10
2022-06-14,5759,10
2022-06-15,5881,10
2022-06-16,3813,8
2022-06-17,3028,10
2022-06-20,4197,10
2022-06-21,5858,10
2022-06-22,5911,10
2022-06-23,5597,10
2022-06-24,2827,10
2022-06-27,4212,10
2022-06-28,5927,10
2022-06-29,5494,10
2022-06-30,3502,10
2022-07-04,3390,10
2022-07-05,5024,10
2022-07-06,5358,10
2022-07-07,4876,10
2022-07-08,2752,10
2022-07-11,4096,10
2022-07-12,5575,10
2022-07-13,5520,10
2022-07-14,5011,10
2022-07-15,2573,10
2022-07-18,3783,10
2022-07-19,5483,10
2022-07-20,5549,10
2022-07-21,5021,10
2022-07-22,2582,10
2022-07-25,3918,10
2022-07-26,5348,10
2022-07-27,5393,10
2022-07-28,4660,10
2022-07-29,2176,10
2022-08-02,4724,10
2022-08-03,5048,10
2022-08-04,4792,10
2022-08-05,2472,10
2022-08-08,3836,10
2022-08-09,5437,10
2022-08-10,5780,10
2022-08-11,4836,10
2022-08-12,1437,6
2022-08-15,3971,10
2022-08-16,5636,10
2022-08-17,5787,10
2022-08-18,5104,10
2022-08-19,2730,9
2022-08-22,3799,10
2022-08-23,5555,10
2022-08-24,5665,10
2022-08-25,5083,10
2022-08-26,2681,10
2022-08-29,3935,10
2022-08-30,4887,10
2022-08-31,5161,10
2022-09-01,4529,10
2022-09-02,2162,10
2022-09-06,5704,10
2022-09-07,6707,10
2022-09-08,6670,10
2022-09-09,3902,10
2022-09-12,5552,10
2022-09-13,7708,10
2022-09-14,7664,10
2022-09-15,7308,10
2022-09-16,3931,10
2022-09-19,5306,10
2022-09-20,7891,10
2022-09-21,7773,10
2022-09-22,7225,10
2022-09-23,3815,10
2022-09-26,5337,10
2022-09-27,7564,10
2022-09-28,7592,10
2022-09-29,6814,10
2022-09-30,3080,10
2022-10-03,5558,10
2022-10-04,7759,10
2022-10-05,7726,10
2022-10-06,7242,10
2022-10-07,3291,10
2022-10-11,6720,10
2022-10-12,7283,10
2022-10-13,6577,10
2022-10-14,3406,10
2022-10-17,5556,12
2022-10-18,7903,12
2022-10-19,7852,12
2022-10-20,7083,12
2022-10-21,3731,12
2022-10-24,4935,12
2022-10-25,7677,12
2022-10-26,7730,12
2022-10-27,7321,12
2022-10-28,3691,12
2022-10-31,5084,12
2022-11-01,7753,12
2022-11-02,8503,12
2022-11-03,7193,12
2022-11-04,3638,12
2022-11-07,5234,12
2022-11-08,8073,12
2022-11-09,7932,12
2022-11-10,7030,12
2022-11-11,2959,12
2022-11-14,5430,12
2022-11-15,7869,12
2022-11-16,6571,11
2022-11-17,7110,12
2022-11-18,3589,12
2022-11-20,154,2
2022-11-21,5362,12
2022-11-22,7792,12
2022-11-23,7714,12
2022-11-24,6625,12
2022-11-25,3501,12
2022-11-28,5388,12
2022-11-29,7649,12
2022-11-30,7583,12
2022-12-01,6982,12
2022-12-02,3704,12
2022-12-05,5347,12
2022-12-06,7399,12
2022-12-07,7784,12
2022-12-08,7240,12
2022-12-09,3468,12
2022-12-12,5129,12
2022-12-13,7353,12
2022-12-14,7395,12
2022-12-15,4115,10
2022-12-16,2771,10
2022-12-19,3955,12
2022-12-20,5226,12
2022-12-21,4644,12
2022-12-22,2998,12
2022-12-23,867,10
2022-12-28,1499,12
2022-12-29,1481,12
2022-12-30,1009,12
2022-12-31,72,2
