date,ridership Stouffville OLD ELM GO,total_train_trips Stouffville OLD ELM GO
2021-05-11,206,4
2021-05-12,206,4
2021-05-13,195,4
2021-05-14,192,4
2021-05-17,192,4
2021-05-18,197,4
2021-05-19,215,4
2021-05-20,205,4
2021-05-21,163,4
2021-05-25,210,4
2021-05-26,230,4
2021-05-27,219,4
2021-05-28,176,4
2021-05-31,212,4
2021-06-01,231,4
2021-06-02,235,4
2021-06-03,213,4
2021-06-04,193,4
2021-06-07,225,4
2021-06-08,234,4
2021-06-09,236,4
2021-06-10,228,4
2021-06-11,214,4
2021-06-14,215,4
2021-06-15,248,4
2021-06-16,250,4
2021-06-17,245,4
2021-06-18,216,4
2021-06-21,241,4
2021-06-22,260,4
2021-06-23,262,4
2021-06-24,254,4
2021-06-25,212,4
2021-06-28,246,4
2021-06-29,261,4
2021-06-30,264,4
2021-07-02,172,4
2021-07-05,252,4
2021-07-06,290,4
2021-07-07,251,4
2021-07-08,260,4
2021-07-09,231,4
2021-07-12,267,4
2021-07-13,275,4
2021-07-14,291,4
2021-07-15,289,4
2021-07-16,238,4
2021-07-19,283,4
2021-07-20,292,4
2021-07-21,308,4
2021-07-22,309,4
2021-07-23,275,4
2021-07-26,305,4
2021-07-27,323,4
2021-07-28,313,4
2021-07-29,301,4
2021-07-30,257,4
2021-08-03,341,4
2021-08-04,331,4
2021-08-05,336,4
2021-08-06,297,4
2021-08-07,68,3
2021-08-08,68,3
2021-08-09,363,5
2021-08-10,353,5
2021-08-11,381,5
2021-08-12,354,5
2021-08-13,311,5
2021-08-16,359,5
2021-08-17,380,5
2021-08-18,385,5
2021-08-19,389,5
2021-08-20,329,5
2021-08-21,65,3
2021-08-22,43,3
2021-08-23,368,5
2021-08-24,390,5
2021-08-25,411,5
2021-08-26,400,5
2021-08-27,356,5
2021-08-28,54,3
2021-08-29,50,3
2021-08-30,390,5
2021-08-31,408,5
2021-09-01,390,5
2021-09-02,385,5
2021-09-03,307,5
2021-09-04,76,3
2021-09-05,51,3
2021-09-06,54,3
2021-09-07,542,8
2021-09-08,510,8
2021-09-09,553,8
2021-09-10,496,8
2021-09-11,76,3
2021-09-12,44,3
2021-09-13,593,8
2021-09-14,680,8
2021-09-15,595,7
2021-09-16,639,8
2021-09-17,525,8
2021-09-18,66,3
2021-09-19,58,3
2021-09-20,598,8
2021-09-21,679,8
2021-09-22,616,8
2021-09-23,678,8
2021-09-24,599,8
2021-09-25,70,3
2021-09-26,36,3
2021-09-27,644,8
2021-09-28,723,8
2021-09-29,719,8
2021-09-30,614,8
2021-10-01,602,8
2021-10-02,82,3
2021-10-03,37,3
2021-10-04,668,8
2021-10-05,775,8
2021-10-06,752,8
2021-10-07,781,8
2021-10-08,536,8
2021-10-12,733,8
2021-10-13,789,8
2021-10-14,754,8
2021-10-15,601,8
2021-10-16,51,3
2021-10-17,26,3
2021-10-18,710,8
2021-10-19,847,8
2021-10-20,829,8
2021-10-21,788,8
2021-10-22,617,8
2021-10-25,683,8
2021-10-26,781,8
2021-10-27,841,8
2021-10-28,828,8
2021-10-29,629,8
2021-10-30,58,3
2021-10-31,32,3
2021-11-01,761,8
2021-11-02,878,8
2021-11-03,912,8
2021-11-04,893,8
2021-11-05,642,8
2021-11-06,96,3
2021-11-07,74,3
2021-11-08,708,8
2021-11-09,863,8
2021-11-10,857,8
2021-11-11,715,8
2021-11-12,592,8
2021-11-13,68,3
2021-11-14,35,3
2021-11-15,784,8
2021-11-16,914,8
2021-11-17,922,8
2021-11-18,929,8
2021-11-19,708,8
2021-11-20,64,3
2021-11-21,50,3
2021-11-22,790,8
2021-11-23,936,8
2021-11-24,952,8
2021-11-25,876,8
2021-11-26,692,8
2021-11-27,111,3
2021-11-28,68,3
2021-11-29,788,8
2021-11-30,988,8
2021-12-01,979,8
2021-12-02,1005,8
2021-12-03,691,8
2021-12-04,86,3
2021-12-05,100,3
2021-12-06,800,8
2021-12-07,915,8
2021-12-08,940,8
2021-12-09,465,8
2021-12-10,663,8
2021-12-11,82,3
2021-12-12,67,4
2021-12-13,754,8
2021-12-14,873,8
2021-12-15,765,8
2021-12-16,722,8
2021-12-17,504,8
2021-12-18,46,3
2021-12-19,21,3
2021-12-20,424,8
2021-12-21,411,8
2021-12-22,361,8
2021-12-23,327,8
2021-12-24,183,8
2021-12-25,12,3
2021-12-26,26,3
2021-12-27,45,3
2021-12-28,60,3
2021-12-29,210,8
2021-12-30,192,8
2021-12-31,158,8
2022-01-01,19,3
2022-01-02,15,3
2022-01-03,65,3
2022-01-04,328,8
2022-01-05,282,8
2022-01-06,267,8
2022-01-07,240,8
2022-01-08,23,3
2022-01-09,12,2
2022-01-10,249,5
2022-01-11,235,5
2022-01-12,267,5
2022-01-13,242,5
2022-01-14,241,5
2022-01-15,19,3
2022-01-16,10,3
2022-01-17,163,5
2022-01-18,248,5
2022-01-19,325,5
2022-01-20,318,5
2022-01-21,265,5
2022-01-24,301,5
2022-01-25,333,5
2022-01-26,325,5
2022-01-27,327,5
2022-01-28,274,5
2022-01-31,349,5
2022-02-01,390,5
2022-02-02,418,5
2022-02-03,314,5
2022-02-04,332,5
2022-02-07,469,5
2022-02-08,516,5
2022-02-09,511,5
2022-02-10,486,5
2022-02-11,440,5
2022-02-14,491,5
2022-02-15,530,5
2022-02-16,576,5
2022-02-17,493,5
2022-02-18,353,5
2022-02-22,544,5
2022-02-23,621,5
2022-02-24,559,5
2022-02-25,416,5
2022-02-28,660,5
2022-03-01,766,5
2022-03-02,780,5
2022-03-03,756,5
2022-03-04,594,5
2022-03-07,733,5
2022-03-08,888,5
2022-03-09,892,5
2022-03-10,846,5
2022-03-11,616,5
2022-03-14,688,5
2022-03-15,775,5
2022-03-16,825,5
2022-03-17,774,5
2022-03-18,572,5
2022-03-21,765,5
2022-03-22,919,5
2022-03-23,931,5
2022-03-24,951,5
2022-03-25,651,5
2022-03-28,790,5
2022-03-29,1027,5
2022-03-30,1007,5
2022-03-31,950,5
2022-04-01,669,5
2022-04-04,943,5
2022-04-05,1167,5
2022-04-06,1160,5
2022-04-07,1031,5
2022-04-08,710,5
2022-04-11,946,5
2022-04-12,1131,5
2022-04-13,1108,5
2022-04-14,977,5
2022-04-18,587,5
2022-04-19,1034,5
2022-04-20,1070,5
2022-04-21,1014,5
2022-04-22,691,5
2022-04-25,881,5
2022-04-26,1128,5
2022-04-27,1102,5
2022-04-28,1043,5
2022-04-29,684,5
2022-05-02,942,5
2022-05-03,1198,5
2022-05-04,1252,5
2022-05-05,1250,5
2022-05-06,758,5
2022-05-09,1014,5
2022-05-10,1344,5
2022-05-11,1333,5
2022-05-12,1298,5
2022-05-13,736,5
2022-05-16,1119,5
2022-05-17,1455,5
2022-05-18,1478,5
2022-05-19,1328,5
2022-05-20,699,5
2022-05-24,1479,6
2022-05-25,1607,6
2022-05-26,1554,6
2022-05-27,870,6
2022-05-28,138,3
2022-05-29,94,3
2022-05-30,1215,6
2022-05-31,1678,6
2022-06-01,1713,6
2022-06-02,1612,6
2022-06-03,935,6
2022-06-04,154,3
2022-06-05,110,3
2022-06-06,1304,6
2022-06-07,1750,6
2022-06-08,1919,6
2022-06-09,1753,6
2022-06-10,997,6
2022-06-13,1386,6
2022-06-14,1898,6
2022-06-15,1907,6
2022-06-16,1794,6
2022-06-17,919,6
2022-06-18,200,3
2022-06-19,137,3
2022-06-20,1335,6
2022-06-21,1961,6
2022-06-22,1971,6
2022-06-23,1947,6
2022-06-24,961,6
2022-06-25,150,3
2022-06-26,118,3
2022-06-27,1347,6
2022-06-28,1979,6
2022-06-29,1872,6
2022-06-30,1170,6
2022-07-01,207,3
2022-07-02,263,3
2022-07-03,157,3
2022-07-04,1109,6
2022-07-05,1700,6
2022-07-06,1773,6
2022-07-07,1641,6
2022-07-08,1019,6
2022-07-09,211,3
2022-07-10,130,3
2022-07-11,1316,6
2022-07-12,1833,6
2022-07-13,1888,6
2022-07-14,1708,6
2022-07-15,978,6
2022-07-16,312,3
2022-07-17,225,3
2022-07-18,1201,6
2022-07-19,1815,6
2022-07-20,1864,6
2022-07-21,1671,6
2022-07-22,888,6
2022-07-23,183,3
2022-07-24,95,3
2022-07-25,1277,6
2022-07-26,1819,6
2022-07-27,1865,6
2022-07-28,1624,6
2022-07-29,778,5
2022-07-30,119,2
2022-07-31,176,3
2022-08-01,138,3
2022-08-02,1551,6
2022-08-03,1745,6
2022-08-04,1598,6
2022-08-05,866,6
2022-08-06,190,3
2022-08-07,102,3
2022-08-08,1213,6
2022-08-09,1837,6
2022-08-10,1910,6
2022-08-11,1768,6
2022-08-12,910,6
2022-08-13,143,2
2022-08-14,108,2
2022-08-15,1262,6
2022-08-16,1879,6
2022-08-17,1947,6
2022-08-18,1709,6
2022-08-19,981,6
2022-08-20,211,2
2022-08-21,97,2
2022-08-22,1228,6
2022-08-23,1877,6
2022-08-24,1964,6
2022-08-25,1785,6
2022-08-26,1056,6
2022-08-27,340,2
2022-08-28,276,2
2022-08-29,1061,5
2022-08-30,1732,6
2022-08-31,1794,6
2022-09-01,1592,6
2022-09-02,696,5
2022-09-03,242,2
2022-09-04,159,2
2022-09-05,125,2
2022-09-06,2023,6
2022-09-07,2112,6
2022-09-08,2306,6
2022-09-09,1362,6
2022-09-10,156,3
2022-09-11,115,3
2022-09-12,1906,6
2022-09-13,2587,6
2022-09-14,2691,6
2022-09-15,2414,6
2022-09-16,1374,6
2022-09-17,115,2
2022-09-18,88,2
2022-09-19,1841,6
2022-09-20,2649,6
2022-09-21,2649,6
2022-09-22,2546,6
2022-09-23,1393,6
2022-09-26,1824,6
2022-09-27,2565,6
2022-09-28,2667,6
2022-09-29,2434,6
2022-09-30,1147,6
2022-10-01,279,2
2022-10-02,219,2
2022-10-03,1884,6
2022-10-04,2635,6
2022-10-05,2708,6
2022-10-06,2483,6
2022-10-07,1196,6
2022-10-08,87,2
2022-10-09,82,2
2022-10-10,42,2
2022-10-11,2223,6
2022-10-12,2551,6
2022-10-13,2262,6
2022-10-14,1168,6
2022-10-15,144,3
2022-10-17,1914,6
2022-10-18,2632,6
2022-10-19,2707,6
2022-10-20,2468,6
2022-10-21,1310,6
2022-10-22,235,3
2022-10-23,86,3
2022-10-24,1725,6
2022-10-25,2581,6
2022-10-26,2625,6
2022-10-27,2549,6
2022-10-28,1224,6
2022-10-29,124,3
2022-10-30,70,3
2022-10-31,1747,6
2022-11-01,2588,6
2022-11-02,2863,6
2022-11-03,2511,6
2022-11-04,1294,6
2022-11-05,186,3
2022-11-06,124,3
2022-11-07,1622,6
2022-11-08,2451,6
2022-11-09,2558,6
2022-11-10,2254,6
2022-11-11,658,4
2022-11-14,1804,6
2022-11-15,2600,6
2022-11-16,2467,6
2022-11-17,2392,6
2022-11-18,1212,6
2022-11-19,134,3
2022-11-20,89,3
2022-11-21,1767,6
2022-11-22,2580,6
2022-11-23,2600,6
2022-11-24,2311,6
2022-11-25,1195,6
2022-11-28,1792,6
2022-11-29,2545,6
2022-11-30,2479,6
2022-12-01,2432,6
2022-12-02,1254,6
2022-12-03,90,3
2022-12-04,78,3
2022-12-05,1794,6
2022-12-06,2417,6
2022-12-07,2683,6
2022-12-08,2494,6
2022-12-09,1211,6
2022-12-10,178,3
2022-12-11,167,3
2022-12-12,1731,6
2022-12-13,2517,6
2022-12-14,2600,6
2022-12-15,1583,6
2022-12-16,903,6
2022-12-17,150,3
2022-12-18,104,3
2022-12-19,1357,6
2022-12-20,1850,6
2022-12-21,1568,6
2022-12-22,1032,6
2022-12-23,348,6
2022-12-24,83,3
2022-12-25,45,3
2022-12-26,97,3
2022-12-27,164,3
2022-12-28,531,6
2022-12-29,531,6
2022-12-30,382,6
2022-12-31,83,3
